time,gFx,gFy,gFz,gFTotal
14.387,-0.050,-0.038,-0.994,0.996
14.397,-0.050,-0.040,-0.995,0.997
14.407,-0.049,-0.040,-0.994,0.996
14.417,-0.048,-0.038,-0.994,0.996
14.427,-0.049,-0.039,-0.995,0.997
14.437,-0.049,-0.038,-0.994,0.996
14.447,-0.048,-0.036,-0.995,0.997
14.457,-0.048,-0.036,-0.996,0.997
14.467,-0.048,-0.037,-0.995,0.997
14.477,-0.047,-0.037,-0.994,0.995
14.487,-0.048,-0.040,-0.993,0.995
14.497,-0.049,-0.039,-0.995,0.997
14.507,-0.047,-0.039,-0.995,0.997
14.517,-0.047,-0.039,-0.995,0.997
14.527,-0.049,-0.040,-0.995,0.997
14.537,-0.050,-0.039,-0.996,0.998
14.547,-0.050,-0.038,-0.993,0.995
14.557,-0.049,-0.038,-0.994,0.996
14.567,-0.050,-0.036,-0.994,0.996
14.577,-0.050,-0.036,-0.994,0.996
14.587,-0.050,-0.037,-0.994,0.996
14.597,-0.050,-0.038,-0.995,0.997
14.607,-0.050,-0.037,-0.995,0.997
14.617,-0.051,-0.039,-0.992,0.994
14.627,-0.049,-0.039,-0.994,0.996
14.637,-0.049,-0.039,-0.994,0.996
14.647,-0.049,-0.039,-0.994,0.996
14.657,-0.049,-0.040,-0.993,0.995
14.667,-0.048,-0.038,-0.994,0.996
14.677,-0.048,-0.038,-0.995,0.997
14.687,-0.048,-0.037,-0.993,0.995
14.697,-0.049,-0.036,-0.994,0.996
14.707,-0.049,-0.038,-0.993,0.995
14.717,-0.049,-0.038,-0.994,0.995
14.727,-0.048,-0.038,-0.996,0.998
14.737,-0.048,-0.038,-0.996,0.998
14.747,-0.049,-0.039,-0.995,0.997
14.757,-0.049,-0.039,-0.995,0.997
14.767,-0.048,-0.040,-0.995,0.997
14.777,-0.048,-0.039,-0.995,0.996
14.787,-0.047,-0.039,-0.995,0.997
14.797,-0.048,-0.037,-0.994,0.996
14.807,-0.049,-0.038,-0.994,0.996
14.817,-0.049,-0.037,-0.995,0.997
14.826,-0.049,-0.037,-0.994,0.996
14.836,-0.049,-0.038,-0.994,0.996
14.846,-0.049,-0.039,-0.994,0.996
14.856,-0.050,-0.037,-0.995,0.997
14.866,-0.049,-0.038,-0.995,0.997
14.877,-0.049,-0.037,-0.995,0.997
14.886,-0.050,-0.038,-0.994,0.996
14.896,-0.048,-0.038,-0.994,0.996
14.907,-0.049,-0.039,-0.994,0.996
14.916,-0.049,-0.038,-0.995,0.997
14.926,-0.050,-0.038,-0.996,0.998
14.936,-0.049,-0.039,-0.994,0.996
14.946,-0.050,-0.038,-0.995,0.997
14.956,-0.048,-0.037,-0.993,0.995
14.966,-0.048,-0.037,-0.993,0.995
14.976,-0.048,-0.038,-0.995,0.996
14.986,-0.048,-0.039,-0.995,0.997
14.996,-0.049,-0.040,-0.993,0.995
15.006,-0.048,-0.039,-0.994,0.996
15.016,-0.049,-0.038,-0.995,0.997
15.026,-0.048,-0.039,-0.996,0.998
15.036,-0.048,-0.038,-0.995,0.996
15.046,-0.049,-0.037,-0.994,0.996
15.056,-0.049,-0.036,-0.993,0.995
15.066,-0.048,-0.038,-0.994,0.996
15.076,-0.048,-0.037,-0.995,0.997
15.086,-0.049,-0.038,-0.994,0.996
15.096,-0.049,-0.039,-0.994,0.996
15.106,-0.050,-0.040,-0.994,0.996
15.116,-0.049,-0.039,-0.994,0.996
15.126,-0.050,-0.039,-0.993,0.995
15.136,-0.049,-0.037,-0.993,0.995
15.146,-0.049,-0.037,-0.995,0.997
15.156,-0.051,-0.038,-0.995,0.997
15.166,-0.051,-0.036,-0.996,0.998
15.176,-0.048,-0.037,-0.996,0.998
15.186,-0.049,-0.037,-0.995,0.997
15.196,-0.049,-0.038,-0.994,0.995
15.206,-0.048,-0.039,-0.993,0.995
15.216,-0.047,-0.040,-0.994,0.996
15.226,-0.049,-0.040,-0.994,0.996
15.236,-0.049,-0.040,-0.995,0.997
15.246,-0.047,-0.039,-0.994,0.996
15.256,-0.049,-0.037,-0.996,0.998
15.266,-0.050,-0.038,-0.995,0.997
15.276,-0.048,-0.038,-0.994,0.996
15.286,-0.049,-0.037,-0.994,0.996
15.296,-0.049,-0.038,-0.995,0.997
15.306,-0.049,-0.037,-0.995,0.997
15.316,-0.050,-0.039,-0.995,0.997
15.326,-0.050,-0.038,-0.995,0.997
15.336,-0.048,-0.038,-0.994,0.995
15.346,-0.048,-0.038,-0.993,0.995
15.356,-0.050,-0.038,-0.995,0.997
15.366,-0.049,-0.039,-0.995,0.997
15.376,-0.050,-0.040,-0.996,0.998
15.386,-0.050,-0.037,-0.994,0.996
15.396,-0.048,-0.037,-0.996,0.998
15.406,-0.048,-0.038,-0.992,0.994
15.416,-0.047,-0.038,-0.993,0.995
15.426,-0.050,-0.037,-0.993,0.995
15.436,-0.049,-0.036,-0.994,0.996
15.446,-0.049,-0.037,-0.994,0.996
15.456,-0.049,-0.037,-0.994,0.996
15.466,-0.049,-0.039,-0.994,0.996
15.476,-0.049,-0.038,-0.994,0.996
15.486,-0.049,-0.038,-0.994,0.995
15.496,-0.049,-0.039,-0.996,0.998
15.506,-0.048,-0.038,-0.995,0.997
15.516,-0.050,-0.040,-0.993,0.995
15.526,-0.049,-0.038,-0.994,0.996
15.536,-0.049,-0.037,-0.994,0.996
15.545,-0.050,-0.038,-0.994,0.996
15.556,-0.048,-0.037,-0.994,0.996
15.565,-0.049,-0.038,-0.993,0.995
15.576,-0.049,-0.039,-0.994,0.996
15.585,-0.049,-0.039,-0.994,0.996
15.595,-0.049,-0.038,-0.993,0.995
15.605,-0.049,-0.039,-0.994,0.996
15.615,-0.049,-0.039,-0.995,0.997
15.625,-0.049,-0.039,-0.994,0.996
15.635,-0.050,-0.039,-0.994,0.996
15.645,-0.050,-0.039,-0.993,0.995
15.655,-0.048,-0.038,-0.993,0.995
15.665,-0.048,-0.039,-0.992,0.994
15.675,-0.049,-0.039,-0.993,0.995
15.685,-0.047,-0.037,-0.995,0.997
15.695,-0.047,-0.037,-0.995,0.996
15.705,-0.048,-0.037,-0.995,0.997
15.715,-0.047,-0.037,-0.996,0.998
15.725,-0.048,-0.038,-0.995,0.997
15.735,-0.048,-0.038,-0.995,0.997
15.745,-0.048,-0.038,-0.994,0.996
15.755,-0.048,-0.037,-0.995,0.997
15.765,-0.049,-0.038,-0.993,0.995
15.775,-0.051,-0.038,-0.992,0.994
15.785,-0.050,-0.039,-0.994,0.996
15.795,-0.050,-0.039,-0.993,0.995
15.805,-0.049,-0.038,-0.993,0.995
15.815,-0.049,-0.038,-0.994,0.996
15.825,-0.048,-0.037,-0.995,0.997
15.835,-0.049,-0.038,-0.996,0.997
15.845,-0.048,-0.038,-0.995,0.996
15.855,-0.049,-0.038,-0.995,0.997
15.865,-0.049,-0.038,-0.994,0.995
15.875,-0.050,-0.038,-0.993,0.995
15.885,-0.049,-0.038,-0.993,0.995
15.895,-0.047,-0.038,-0.994,0.996
15.905,-0.048,-0.040,-0.993,0.995
15.915,-0.049,-0.039,-0.995,0.997
15.925,-0.050,-0.038,-0.995,0.997
15.935,-0.048,-0.038,-0.994,0.996
15.945,-0.048,-0.038,-0.994,0.996
15.955,-0.049,-0.038,-0.992,0.994
15.965,-0.049,-0.037,-0.994,0.996
15.975,-0.049,-0.038,-0.993,0.995
15.985,-0.049,-0.038,-0.993,0.995
15.995,-0.049,-0.038,-0.995,0.997
16.005,-0.049,-0.039,-0.994,0.996
16.015,-0.049,-0.039,-0.993,0.995
16.025,-0.049,-0.039,-0.995,0.997
16.035,-0.049,-0.040,-0.994,0.996
16.045,-0.049,-0.039,-0.992,0.994
16.055,-0.049,-0.038,-0.994,0.996
16.065,-0.048,-0.038,-0.993,0.994
16.075,-0.049,-0.039,-0.995,0.997
16.085,-0.050,-0.039,-0.995,0.997
16.095,-0.049,-0.038,-0.995,0.997
16.105,-0.049,-0.038,-0.995,0.997
16.115,-0.047,-0.038,-0.993,0.995
16.125,-0.047,-0.038,-0.991,0.992
16.135,-0.049,-0.038,-0.994,0.996
16.145,-0.048,-0.039,-0.995,0.997
16.155,-0.049,-0.040,-0.995,0.997
16.165,-0.049,-0.039,-0.996,0.998
16.175,-0.049,-0.040,-0.994,0.996
16.185,-0.049,-0.038,-0.993,0.995
16.195,-0.049,-0.038,-0.992,0.994
16.205,-0.049,-0.037,-0.993,0.995
16.215,-0.048,-0.037,-0.994,0.996
16.225,-0.048,-0.038,-0.995,0.997
16.235,-0.048,-0.038,-0.995,0.997
16.245,-0.048,-0.038,-0.995,0.997
16.255,-0.050,-0.038,-0.995,0.997
16.265,-0.050,-0.039,-0.995,0.997
16.275,-0.050,-0.040,-0.994,0.996
16.285,-0.050,-0.038,-0.992,0.994
16.295,-0.050,-0.039,-0.992,0.994
16.305,-0.049,-0.037,-0.994,0.996
16.314,-0.049,-0.037,-0.995,0.997
16.324,-0.050,-0.038,-0.995,0.997
16.334,-0.048,-0.036,-0.994,0.996
16.344,-0.049,-0.036,-0.994,0.996
16.354,-0.048,-0.038,-0.995,0.996
16.364,-0.049,-0.036,-0.993,0.995
16.374,-0.048,-0.038,-0.993,0.995
16.384,-0.048,-0.038,-0.993,0.995
16.395,-0.049,-0.039,-0.993,0.995
16.404,-0.048,-0.038,-0.995,0.997
16.414,-0.048,-0.039,-0.995,0.997
16.424,-0.049,-0.040,-0.995,0.997
16.435,-0.050,-0.040,-0.994,0.996
16.444,-0.050,-0.037,-0.993,0.995
16.454,-0.051,-0.037,-0.995,0.997
16.464,-0.050,-0.037,-0.993,0.995
16.474,-0.051,-0.038,-0.994,0.996
16.484,-0.050,-0.037,-0.996,0.998
16.494,-0.050,-0.039,-0.994,0.996
16.504,-0.050,-0.039,-0.993,0.995
16.514,-0.049,-0.039,-0.994,0.996
16.524,-0.050,-0.038,-0.994,0.996
16.534,-0.050,-0.037,-0.994,0.996
16.544,-0.049,-0.038,-0.994,0.996
16.554,-0.049,-0.038,-0.994,0.996
16.564,-0.048,-0.039,-0.995,0.997
16.574,-0.048,-0.038,-0.994,0.996
16.584,-0.048,-0.038,-0.996,0.998
16.594,-0.048,-0.037,-0.993,0.995
16.604,-0.048,-0.037,-0.990,0.992
16.614,-0.049,-0.038,-0.992,0.994
16.624,-0.048,-0.037,-0.994,0.996
16.634,-0.049,-0.039,-0.994,0.995
16.644,-0.049,-0.039,-0.995,0.997
16.654,-0.050,-0.037,-0.995,0.997
16.664,-0.050,-0.038,-0.995,0.997
16.674,-0.050,-0.039,-0.996,0.998
16.684,-0.050,-0.038,-0.994,0.996
16.694,-0.051,-0.037,-0.995,0.997
16.704,-0.051,-0.037,-0.993,0.995
16.714,-0.049,-0.037,-0.993,0.995
16.724,-0.050,-0.038,-0.994,0.996
16.734,-0.050,-0.038,-0.993,0.995
16.744,-0.049,-0.038,-0.993,0.995
16.754,-0.050,-0.039,-0.995,0.997
16.764,-0.049,-0.039,-0.994,0.996
16.774,-0.048,-0.037,-0.995,0.996
16.784,-0.048,-0.039,-0.995,0.997
16.794,-0.048,-0.039,-0.995,0.997
16.804,-0.047,-0.039,-0.995,0.997
16.814,-0.047,-0.038,-0.994,0.996
16.824,-0.048,-0.038,-0.996,0.998
16.834,-0.049,-0.037,-0.995,0.996
16.844,-0.048,-0.037,-0.994,0.996
16.854,-0.047,-0.038,-0.994,0.995
16.864,-0.048,-0.037,-0.994,0.996
16.874,-0.049,-0.038,-0.993,0.995
16.884,-0.051,-0.039,-0.994,0.996
16.894,-0.049,-0.039,-0.993,0.995
16.904,-0.050,-0.038,-0.994,0.996
16.914,-0.051,-0.040,-0.995,0.997
16.924,-0.049,-0.038,-0.994,0.996
16.934,-0.050,-0.039,-0.995,0.997
16.944,-0.051,-0.038,-0.995,0.997
16.954,-0.050,-0.038,-0.993,0.995
16.964,-0.049,-0.038,-0.993,0.995
16.974,-0.050,-0.037,-0.994,0.996
16.984,-0.049,-0.038,-0.994,0.996
16.994,-0.048,-0.038,-0.994,0.996
17.004,-0.048,-0.039,-0.995,0.996
17.014,-0.048,-0.040,-0.995,0.997
17.023,-0.048,-0.040,-0.993,0.995
17.034,-0.049,-0.039,-0.994,0.996
17.043,-0.048,-0.038,-0.996,0.998
17.054,-0.048,-0.037,-0.995,0.996
17.063,-0.049,-0.036,-0.992,0.994
17.073,-0.049,-0.037,-0.994,0.996
17.083,-0.049,-0.037,-0.997,0.999
17.093,-0.047,-0.038,-0.995,0.997
17.103,-0.049,-0.038,-0.993,0.995
17.113,-0.049,-0.038,-0.995,0.997
17.123,-0.050,-0.039,-0.993,0.995
17.133,-0.049,-0.039,-0.992,0.994
17.143,-0.049,-0.037,-0.994,0.996
17.153,-0.051,-0.039,-0.995,0.997
17.163,-0.049,-0.039,-0.995,0.997
17.173,-0.049,-0.039,-0.993,0.995
17.183,-0.048,-0.038,-0.996,0.997
17.193,-0.048,-0.038,-0.994,0.996
17.203,-0.047,-0.036,-0.994,0.995
17.213,-0.047,-0.038,-0.993,0.995
17.223,-0.048,-0.039,-0.994,0.996
17.233,-0.049,-0.040,-0.995,0.997
17.243,-0.048,-0.040,-0.995,0.997
17.253,-0.048,-0.038,-0.993,0.995
17.263,-0.048,-0.039,-0.994,0.996
17.273,-0.049,-0.039,-0.995,0.997
17.283,-0.049,-0.038,-0.994,0.996
17.293,-0.050,-0.038,-0.991,0.993
17.303,-0.050,-0.037,-0.993,0.995
17.313,-0.050,-0.037,-0.995,0.997
17.323,-0.050,-0.038,-0.994,0.996
17.333,-0.049,-0.038,-0.995,0.997
17.343,-0.050,-0.038,-0.994,0.996
17.353,-0.050,-0.038,-0.995,0.997
17.363,-0.049,-0.039,-0.995,0.997
17.373,-0.049,-0.038,-0.992,0.994
17.383,-0.048,-0.039,-0.992,0.994
17.393,-0.049,-0.038,-0.994,0.995
17.403,-0.049,-0.038,-0.995,0.997
17.413,-0.048,-0.039,-0.994,0.996
17.423,-0.048,-0.039,-0.993,0.995
17.433,-0.048,-0.038,-0.995,0.997
17.443,-0.049,-0.037,-0.995,0.997
17.453,-0.049,-0.037,-0.993,0.995
17.463,-0.049,-0.037,-0.993,0.995
17.473,-0.047,-0.038,-0.993,0.995
17.483,-0.048,-0.039,-0.994,0.996
17.493,-0.048,-0.039,-0.994,0.996
17.503,-0.049,-0.040,-0.995,0.997
17.513,-0.050,-0.040,-0.995,0.997
17.523,-0.049,-0.039,-0.994,0.996
17.533,-0.049,-0.037,-0.995,0.997
17.543,-0.050,-0.036,-0.996,0.998
17.553,-0.050,-0.037,-0.992,0.994
17.563,-0.049,-0.039,-0.994,0.996
17.573,-0.050,-0.038,-0.996,0.998
17.583,-0.050,-0.038,-0.995,0.997
17.593,-0.049,-0.037,-0.992,0.994
17.603,-0.050,-0.039,-0.993,0.995
17.613,-0.049,-0.040,-0.995,0.997
17.623,-0.049,-0.038,-0.993,0.995
17.633,-0.049,-0.037,-0.995,0.997
17.643,-0.048,-0.039,-0.997,0.999
17.653,-0.047,-0.038,-0.995,0.997
17.663,-0.048,-0.036,-0.991,0.993
17.673,-0.049,-0.039,-0.997,0.999
17.683,-0.048,-0.038,-0.997,0.999
17.693,-0.049,-0.037,-0.990,0.992
17.703,-0.049,-0.038,-0.992,0.994
17.713,-0.049,-0.037,-0.996,0.998
17.723,-0.050,-0.039,-0.995,0.997
17.733,-0.048,-0.039,-0.992,0.994
17.743,-0.049,-0.039,-0.996,0.998
17.753,-0.049,-0.039,-0.996,0.998
17.763,-0.048,-0.038,-0.991,0.993
17.773,-0.049,-0.038,-0.993,0.994
17.782,-0.049,-0.037,-0.996,0.998
17.792,-0.048,-0.039,-0.993,0.995
17.802,-0.049,-0.038,-0.992,0.994
17.812,-0.050,-0.038,-0.995,0.997
17.822,-0.049,-0.037,-0.994,0.996
17.832,-0.048,-0.037,-0.993,0.995
17.842,-0.049,-0.037,-0.996,0.998
17.852,-0.050,-0.039,-0.994,0.996
17.862,-0.048,-0.039,-0.992,0.994
17.872,-0.050,-0.038,-0.993,0.995
17.882,-0.049,-0.039,-0.994,0.996
17.892,-0.050,-0.039,-0.993,0.995
17.902,-0.049,-0.037,-0.994,0.996
17.912,-0.050,-0.038,-0.994,0.996
17.922,-0.049,-0.038,-0.995,0.997
17.932,-0.049,-0.037,-0.994,0.996
17.942,-0.049,-0.039,-0.993,0.995
17.952,-0.049,-0.039,-0.994,0.996
17.962,-0.050,-0.038,-0.995,0.997
17.972,-0.049,-0.039,-0.994,0.996
17.982,-0.049,-0.038,-0.993,0.995
17.992,-0.048,-0.038,-0.992,0.994
18.002,-0.048,-0.039,-0.993,0.995
18.012,-0.049,-0.039,-0.993,0.995
18.022,-0.049,-0.039,-0.994,0.996
18.032,-0.049,-0.038,-0.993,0.995
18.042,-0.049,-0.039,-0.994,0.996
18.052,-0.049,-0.038,-0.994,0.996
18.062,-0.050,-0.038,-0.993,0.995
18.072,-0.050,-0.038,-0.993,0.995
18.082,-0.049,-0.038,-0.994,0.996
18.092,-0.049,-0.038,-0.994,0.996
18.102,-0.050,-0.038,-0.993,0.995
18.112,-0.049,-0.039,-0.993,0.995
18.122,-0.049,-0.039,-0.995,0.997
18.132,-0.049,-0.037,-0.994,0.996
18.142,-0.049,-0.038,-0.994,0.996
18.152,-0.048,-0.040,-0.994,0.996
18.162,-0.048,-0.038,-0.994,0.996
18.172,-0.049,-0.039,-0.995,0.997
18.182,-0.048,-0.038,-0.994,0.996
18.192,-0.048,-0.038,-0.996,0.998
18.202,-0.049,-0.038,-0.994,0.996
18.212,-0.049,-0.039,-0.994,0.996
18.222,-0.049,-0.038,-0.995,0.996
18.232,-0.049,-0.039,-0.994,0.996
18.242,-0.049,-0.038,-0.994,0.995
18.252,-0.050,-0.038,-0.994,0.996
18.262,-0.049,-0.039,-0.995,0.997
18.272,-0.050,-0.037,-0.994,0.996
18.282,-0.049,-0.039,-0.993,0.995
18.292,-0.050,-0.038,-0.996,0.998
18.302,-0.050,-0.038,-0.994,0.996
18.312,-0.051,-0.039,-0.994,0.996
18.322,-0.048,-0.038,-0.994,0.996
18.332,-0.050,-0.039,-0.994,0.996
18.342,-0.048,-0.038,-0.994,0.996
18.352,-0.050,-0.037,-0.995,0.997
18.362,-0.049,-0.039,-0.994,0.996
18.372,-0.048,-0.038,-0.995,0.997
18.382,-0.049,-0.038,-0.993,0.995
18.392,-0.048,-0.039,-0.995,0.997
18.402,-0.050,-0.039,-0.993,0.995
18.412,-0.050,-0.040,-0.995,0.997
18.422,-0.049,-0.039,-0.993,0.995
18.432,-0.049,-0.039,-0.994,0.996
18.442,-0.049,-0.038,-0.994,0.996
18.451,-0.050,-0.039,-0.993,0.995
18.462,-0.049,-0.038,-0.995,0.997
18.472,-0.048,-0.037,-0.995,0.997
18.482,-0.049,-0.038,-0.995,0.997
18.491,-0.048,-0.039,-0.994,0.996
18.501,-0.049,-0.038,-0.993,0.995
18.511,-0.050,-0.038,-0.993,0.995
18.521,-0.047,-0.039,-0.994,0.996
18.531,-0.049,-0.038,-0.994,0.996
18.541,-0.049,-0.038,-0.994,0.996
18.551,-0.050,-0.040,-0.993,0.995
18.561,-0.049,-0.038,-0.995,0.997
18.571,-0.049,-0.037,-0.994,0.995
18.581,-0.049,-0.037,-0.993,0.995
18.591,-0.048,-0.038,-0.995,0.997
18.602,-0.049,-0.038,-0.994,0.996
18.611,-0.049,-0.038,-0.995,0.997
18.621,-0.050,-0.038,-0.996,0.998
18.631,-0.049,-0.038,-0.994,0.996
18.641,-0.049,-0.039,-0.994,0.996
18.651,-0.048,-0.038,-0.993,0.995
18.661,-0.049,-0.039,-0.994,0.996
18.671,-0.048,-0.039,-0.993,0.995
18.681,-0.049,-0.037,-0.994,0.996
18.691,-0.050,-0.038,-0.997,0.999
18.701,-0.048,-0.038,-0.995,0.997
18.711,-0.048,-0.037,-0.993,0.995
18.721,-0.049,-0.036,-0.994,0.996
18.731,-0.050,-0.037,-0.994,0.996
18.741,-0.048,-0.038,-0.994,0.996
18.751,-0.050,-0.039,-0.993,0.995
18.761,-0.049,-0.039,-0.994,0.996
18.771,-0.050,-0.040,-0.993,0.995
18.781,-0.050,-0.039,-0.993,0.995
18.791,-0.048,-0.039,-0.994,0.996
18.801,-0.050,-0.038,-0.994,0.996
18.811,-0.049,-0.037,-0.994,0.996
18.821,-0.049,-0.037,-0.995,0.996
18.831,-0.049,-0.036,-0.993,0.995
18.841,-0.049,-0.038,-0.994,0.996
18.851,-0.049,-0.037,-0.994,0.996
18.861,-0.049,-0.038,-0.995,0.997
18.871,-0.050,-0.040,-0.994,0.996
18.881,-0.049,-0.039,-0.994,0.996
18.891,-0.048,-0.038,-0.994,0.996
18.901,-0.048,-0.039,-0.992,0.994
18.911,-0.049,-0.038,-0.995,0.996
18.921,-0.048,-0.039,-0.995,0.997
18.931,-0.048,-0.038,-0.994,0.995
18.941,-0.050,-0.039,-0.993,0.995
18.951,-0.049,-0.038,-0.996,0.998
18.961,-0.049,-0.038,-0.994,0.996
18.971,-0.049,-0.039,-0.994,0.996
18.981,-0.051,-0.038,-0.995,0.998
18.991,-0.049,-0.038,-0.994,0.995
19.001,-0.048,-0.038,-0.993,0.995
19.011,-0.050,-0.039,-0.995,0.997
19.021,-0.049,-0.039,-0.993,0.995
19.031,-0.050,-0.039,-0.993,0.995
19.041,-0.048,-0.039,-0.995,0.996
19.051,-0.049,-0.038,-0.993,0.995
19.061,-0.050,-0.038,-0.994,0.996
19.071,-0.049,-0.038,-0.994,0.996
19.081,-0.048,-0.038,-0.994,0.996
19.091,-0.049,-0.037,-0.994,0.995
19.101,-0.049,-0.038,-0.993,0.995
19.111,-0.049,-0.038,-0.994,0.996
19.121,-0.049,-0.038,-0.995,0.997
19.131,-0.049,-0.039,-0.993,0.995
19.141,-0.050,-0.039,-0.993,0.995
19.151,-0.049,-0.040,-0.992,0.994
19.161,-0.049,-0.040,-0.994,0.996
19.171,-0.049,-0.039,-0.995,0.997
19.181,-0.049,-0.037,-0.993,0.995
19.190,-0.048,-0.038,-0.993,0.995
19.201,-0.049,-0.038,-0.994,0.996
19.210,-0.049,-0.037,-0.994,0.996
19.220,-0.049,-0.038,-0.993,0.995
19.230,-0.050,-0.038,-0.994,0.996
19.240,-0.049,-0.038,-0.994,0.996
19.250,-0.050,-0.038,-0.993,0.995
19.260,-0.049,-0.039,-0.995,0.996
19.270,-0.049,-0.039,-0.994,0.996
19.280,-0.048,-0.039,-0.993,0.995
19.290,-0.049,-0.038,-0.994,0.996
19.300,-0.049,-0.039,-0.995,0.997
19.310,-0.048,-0.039,-0.994,0.996
19.320,-0.049,-0.038,-0.996,0.998
19.330,-0.049,-0.037,-0.995,0.997
19.340,-0.049,-0.038,-0.993,0.995
19.350,-0.049,-0.038,-0.993,0.995
19.360,-0.048,-0.037,-0.992,0.994
19.370,-0.051,-0.038,-0.993,0.995
19.380,-0.049,-0.037,-0.994,0.996
19.390,-0.049,-0.038,-0.995,0.996
19.400,-0.049,-0.038,-0.995,0.997
19.410,-0.050,-0.037,-0.994,0.996
19.420,-0.050,-0.038,-0.992,0.994
19.430,-0.049,-0.039,-0.993,0.995
19.440,-0.050,-0.038,-0.993,0.995
19.450,-0.049,-0.039,-0.995,0.997
19.460,-0.050,-0.038,-0.993,0.995
19.470,-0.050,-0.038,-0.992,0.994
19.480,-0.050,-0.038,-0.993,0.995
19.490,-0.049,-0.038,-0.993,0.995
19.500,-0.049,-0.038,-0.993,0.995
19.510,-0.049,-0.038,-0.996,0.998
19.520,-0.048,-0.039,-0.994,0.996
19.530,-0.049,-0.039,-0.994,0.996
19.540,-0.049,-0.038,-0.992,0.994
19.550,-0.048,-0.038,-0.993,0.995
19.560,-0.050,-0.038,-0.993,0.995
19.570,-0.049,-0.039,-0.994,0.996
19.580,-0.050,-0.040,-0.994,0.996
19.590,-0.050,-0.039,-0.993,0.995
19.600,-0.049,-0.039,-0.994,0.996
19.610,-0.049,-0.037,-0.993,0.995
19.620,-0.049,-0.037,-0.992,0.994
19.630,-0.049,-0.038,-0.993,0.995
19.640,-0.049,-0.038,-0.995,0.997
19.650,-0.049,-0.038,-0.994,0.996
19.660,-0.049,-0.039,-0.993,0.995
19.670,-0.048,-0.039,-0.992,0.994
19.680,-0.048,-0.039,-0.992,0.994
19.690,-0.048,-0.039,-0.992,0.994
19.700,-0.048,-0.039,-0.995,0.997
19.710,-0.048,-0.037,-0.997,0.999
19.720,-0.048,-0.037,-0.995,0.996
19.730,-0.048,-0.038,-0.995,0.997
19.740,-0.050,-0.038,-0.994,0.996
19.750,-0.050,-0.039,-0.994,0.996
19.760,-0.049,-0.038,-0.993,0.995
19.770,-0.051,-0.039,-0.994,0.996
19.780,-0.050,-0.040,-0.994,0.996
19.790,-0.051,-0.039,-0.995,0.997
19.800,-0.050,-0.039,-0.995,0.997
19.810,-0.049,-0.039,-0.992,0.994
19.820,-0.050,-0.039,-0.993,0.995
19.830,-0.050,-0.039,-0.994,0.996
19.840,-0.050,-0.037,-0.994,0.996
19.850,-0.050,-0.038,-0.992,0.994
19.860,-0.049,-0.037,-0.996,0.998
19.870,-0.049,-0.037,-0.995,0.996
19.880,-0.049,-0.038,-0.995,0.997
19.889,-0.047,-0.038,-0.993,0.995
19.899,-0.049,-0.040,-0.993,0.995
19.909,-0.050,-0.039,-0.992,0.994
19.919,-0.047,-0.040,-0.996,0.998
19.929,-0.049,-0.039,-0.994,0.996
19.939,-0.047,-0.037,-0.992,0.994
19.949,-0.048,-0.037,-0.991,0.993
19.959,-0.049,-0.037,-0.994,0.996
19.969,-0.048,-0.038,-0.994,0.996
19.979,-0.049,-0.038,-0.994,0.996
19.989,-0.050,-0.039,-0.994,0.996
19.999,-0.049,-0.039,-0.995,0.997
20.009,-0.050,-0.039,-0.994,0.996
20.019,-0.050,-0.038,-0.994,0.996
20.029,-0.051,-0.038,-0.994,0.997
20.039,-0.050,-0.039,-0.994,0.996
20.049,-0.050,-0.038,-0.991,0.993
20.059,-0.050,-0.039,-0.993,0.995
20.069,-0.050,-0.039,-0.994,0.996
20.079,-0.048,-0.037,-0.994,0.996
20.089,-0.048,-0.039,-0.994,0.996
20.099,-0.049,-0.039,-0.993,0.995
20.109,-0.048,-0.039,-0.994,0.996
20.119,-0.049,-0.038,-0.995,0.997
20.129,-0.048,-0.038,-0.995,0.997
20.139,-0.048,-0.038,-0.994,0.996
20.149,-0.049,-0.037,-0.995,0.996
20.159,-0.049,-0.039,-0.994,0.996
20.169,-0.050,-0.039,-0.993,0.995
20.179,-0.049,-0.039,-0.994,0.996
20.189,-0.049,-0.038,-0.995,0.997
20.199,-0.050,-0.038,-0.994,0.996
20.209,-0.050,-0.037,-0.994,0.996
20.219,-0.050,-0.038,-0.995,0.997
20.230,-0.051,-0.037,-0.993,0.995
20.239,-0.050,-0.038,-0.992,0.994
20.249,-0.049,-0.039,-0.993,0.995
20.259,-0.048,-0.038,-0.994,0.996
20.269,-0.048,-0.038,-0.994,0.996
20.279,-0.049,-0.038,-0.994,0.996
20.289,-0.049,-0.039,-0.995,0.997
20.299,-0.049,-0.037,-0.993,0.995
20.309,-0.049,-0.038,-0.995,0.997
20.319,-0.049,-0.038,-0.994,0.996
20.329,-0.048,-0.037,-0.993,0.994
20.339,-0.048,-0.038,-0.993,0.995
20.349,-0.047,-0.040,-0.993,0.995
20.359,-0.048,-0.039,-0.995,0.996
20.369,-0.049,-0.038,-0.995,0.997
20.379,-0.049,-0.039,-0.994,0.996
20.389,-0.049,-0.038,-0.994,0.996
20.399,-0.050,-0.038,-0.992,0.994
20.409,-0.049,-0.039,-0.993,0.995
20.419,-0.049,-0.038,-0.993,0.995
20.429,-0.051,-0.038,-0.994,0.996
20.439,-0.050,-0.038,-0.993,0.995
