time,gFx,gFy,gFz,gFTotal
1.376,-0.052,-0.038,-0.992,0.994
1.386,-0.051,-0.038,-0.994,0.996
1.396,-0.050,-0.037,-0.999,1.001
1.406,-0.049,-0.038,-0.999,1.001
1.416,-0.050,-0.038,-0.997,0.999
1.426,-0.048,-0.038,-0.992,0.994
1.436,-0.048,-0.038,-0.990,0.991
1.446,-0.047,-0.038,-0.991,0.993
1.456,-0.048,-0.039,-0.995,0.997
1.466,-0.047,-0.039,-0.997,0.999
1.476,-0.047,-0.037,-0.998,1.000
1.486,-0.047,-0.038,-0.998,1.000
1.496,-0.047,-0.038,-0.994,0.996
1.506,-0.047,-0.037,-0.994,0.996
1.515,-0.047,-0.038,-0.992,0.994
1.526,-0.047,-0.037,-0.995,0.997
1.536,-0.049,-0.037,-0.996,0.998
1.545,-0.050,-0.037,-0.997,0.999
1.555,-0.049,-0.037,-0.996,0.998
1.565,-0.050,-0.038,-0.995,0.997
1.575,-0.049,-0.040,-0.993,0.995
1.585,-0.050,-0.039,-0.993,0.995
1.595,-0.049,-0.037,-0.995,0.997
1.605,-0.051,-0.038,-0.997,0.999
1.615,-0.049,-0.038,-0.997,0.999
1.625,-0.047,-0.038,-0.996,0.998
1.635,-0.048,-0.037,-0.995,0.996
1.645,-0.048,-0.038,-0.994,0.996
1.655,-0.047,-0.037,-0.995,0.997
1.665,-0.048,-0.039,-0.994,0.996
1.675,-0.048,-0.039,-0.995,0.997
1.685,-0.048,-0.039,-0.997,0.999
1.695,-0.048,-0.039,-0.996,0.997
1.705,-0.048,-0.039,-0.995,0.996
1.715,-0.049,-0.035,-0.995,0.996
1.725,-0.048,-0.036,-0.995,0.997
1.735,-0.047,-0.036,-0.994,0.996
1.745,-0.049,-0.037,-0.995,0.996
1.755,-0.047,-0.038,-0.996,0.998
1.765,-0.048,-0.038,-0.996,0.998
1.775,-0.049,-0.038,-0.995,0.997
1.785,-0.050,-0.038,-0.993,0.995
1.795,-0.051,-0.038,-0.995,0.997
1.805,-0.049,-0.039,-0.995,0.997
1.815,-0.049,-0.039,-0.995,0.997
1.825,-0.049,-0.039,-0.996,0.998
1.835,-0.049,-0.039,-0.998,1.000
1.844,-0.049,-0.039,-0.996,0.998
1.855,-0.048,-0.039,-0.993,0.995
1.864,-0.050,-0.038,-0.993,0.995
1.875,-0.048,-0.038,-0.995,0.997
1.884,-0.049,-0.038,-0.996,0.998
1.894,-0.048,-0.037,-0.997,0.999
1.904,-0.048,-0.038,-0.996,0.998
1.914,-0.046,-0.038,-0.994,0.996
1.924,-0.048,-0.038,-0.995,0.997
1.934,-0.047,-0.038,-0.993,0.995
1.944,-0.047,-0.038,-0.993,0.995
1.954,-0.047,-0.039,-0.996,0.998
1.964,-0.048,-0.038,-0.996,0.998
1.974,-0.048,-0.038,-0.996,0.998
1.984,-0.049,-0.039,-0.995,0.997
1.994,-0.047,-0.037,-0.995,0.997
2.004,-0.049,-0.038,-0.994,0.996
2.014,-0.050,-0.037,-0.993,0.995
2.024,-0.050,-0.039,-0.993,0.995
2.034,-0.049,-0.037,-0.995,0.996
2.044,-0.050,-0.039,-0.997,0.999
2.054,-0.049,-0.039,-0.998,1.000
2.064,-0.050,-0.038,-0.996,0.998
2.074,-0.049,-0.038,-0.994,0.996
2.084,-0.048,-0.038,-0.994,0.996
2.094,-0.048,-0.039,-0.996,0.998
2.104,-0.048,-0.038,-0.995,0.997
2.114,-0.047,-0.038,-0.996,0.998
2.124,-0.048,-0.038,-0.997,0.998
2.134,-0.048,-0.037,-0.996,0.998
2.144,-0.048,-0.037,-0.995,0.997
2.154,-0.047,-0.039,-0.994,0.996
2.164,-0.046,-0.039,-0.994,0.996
2.174,-0.047,-0.038,-0.996,0.997
2.184,-0.047,-0.038,-0.997,0.999
2.194,-0.049,-0.038,-0.996,0.998
2.204,-0.048,-0.037,-0.995,0.997
2.214,-0.049,-0.038,-0.993,0.995
2.224,-0.049,-0.039,-0.994,0.996
2.234,-0.049,-0.039,-0.993,0.995
2.244,-0.050,-0.039,-0.995,0.997
2.254,-0.050,-0.039,-0.997,0.999
2.264,-0.050,-0.040,-0.998,1.000
2.274,-0.050,-0.038,-0.994,0.996
2.283,-0.049,-0.038,-0.993,0.995
2.294,-0.050,-0.037,-0.995,0.997
2.304,-0.048,-0.038,-0.995,0.996
2.314,-0.048,-0.038,-0.996,0.998
2.324,-0.048,-0.038,-0.995,0.997
2.333,-0.049,-0.038,-0.994,0.996
2.344,-0.049,-0.038,-0.998,1.000
2.354,-0.048,-0.037,-0.997,0.999
2.364,-0.048,-0.037,-0.994,0.996
2.374,-0.048,-0.038,-0.994,0.996
2.384,-0.048,-0.038,-0.996,0.998
2.393,-0.048,-0.037,-0.992,0.994
2.404,-0.047,-0.038,-0.993,0.995
2.413,-0.048,-0.039,-0.998,1.000
2.424,-0.050,-0.038,-0.997,0.999
2.433,-0.048,-0.038,-0.996,0.998
2.443,-0.049,-0.038,-0.993,0.995
2.454,-0.049,-0.038,-0.993,0.995
2.463,-0.049,-0.037,-0.994,0.995
2.474,-0.049,-0.037,-0.994,0.996
2.483,-0.049,-0.038,-0.995,0.997
2.493,-0.049,-0.037,-0.998,1.000
2.503,-0.050,-0.037,-0.997,0.999
2.513,-0.049,-0.038,-0.994,0.996
2.523,-0.048,-0.040,-0.992,0.994
2.533,-0.049,-0.039,-0.992,0.994
2.543,-0.048,-0.040,-0.994,0.996
2.553,-0.048,-0.038,-0.999,1.001
2.563,-0.047,-0.038,-0.998,1.000
2.573,-0.049,-0.037,-0.998,1.000
2.583,-0.046,-0.038,-0.995,0.997
2.593,-0.047,-0.037,-0.991,0.993
2.603,-0.048,-0.037,-0.994,0.995
2.613,-0.048,-0.039,-0.993,0.995
2.623,-0.048,-0.039,-0.996,0.998
2.633,-0.049,-0.038,-0.997,0.999
2.643,-0.049,-0.038,-0.996,0.998
2.653,-0.049,-0.037,-0.992,0.994
2.663,-0.048,-0.036,-0.993,0.995
2.673,-0.049,-0.037,-0.993,0.995
2.683,-0.049,-0.038,-0.993,0.995
2.693,-0.049,-0.039,-0.997,0.999
2.703,-0.050,-0.040,-0.999,1.001
2.713,-0.051,-0.038,-0.998,1.000
2.723,-0.050,-0.037,-0.995,0.997
2.733,-0.049,-0.038,-0.992,0.994
2.743,-0.048,-0.037,-0.992,0.994
2.753,-0.048,-0.036,-0.994,0.996
2.763,-0.048,-0.038,-0.995,0.997
2.773,-0.048,-0.038,-0.997,0.999
2.783,-0.048,-0.038,-0.997,0.999
2.793,-0.048,-0.038,-0.995,0.997
2.803,-0.048,-0.039,-0.994,0.996
2.813,-0.048,-0.039,-0.994,0.996
2.823,-0.048,-0.039,-0.992,0.994
2.833,-0.049,-0.039,-0.995,0.997
2.843,-0.048,-0.039,-0.996,0.998
2.853,-0.048,-0.037,-0.998,1.000
2.863,-0.049,-0.037,-0.997,0.999
2.873,-0.049,-0.038,-0.995,0.997
2.883,-0.048,-0.037,-0.994,0.996
2.893,-0.049,-0.039,-0.995,0.997
2.903,-0.050,-0.038,-0.996,0.998
2.913,-0.048,-0.038,-0.996,0.998
2.923,-0.049,-0.038,-0.993,0.995
2.933,-0.050,-0.039,-0.995,0.997
2.943,-0.049,-0.038,-0.994,0.996
2.953,-0.048,-0.039,-0.993,0.995
2.963,-0.048,-0.040,-0.996,0.998
