energy, tt prod(pb) ,t-channel,s-channel,tw prod
7,179.6, 63.7, 3.00, 17.1
8, 256.0, 84.3, 3.61, 24.4
13,833.9, 214.2, 6.84, 79.3
13.6, 923.6, 232.2, 7.25, 87.9
14,985.7, 244.5,0 , 93.8
