
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
5.01428579e+05, -3.5541e+01, -7.5986e+01
4.87205266e+05, -3.5558e+01, -7.7821e+01
4.73385405e+05, -3.5233e+01, -7.9904e+01
4.59957553e+05, -3.4961e+01, -8.0320e+01
4.46910590e+05, -3.4682e+01, -8.0515e+01
4.34233711e+05, -3.4348e+01, -8.0750e+01
4.21916420e+05, -3.4167e+01, -8.0759e+01
4.09948515e+05, -3.3805e+01, -8.0940e+01
3.98320087e+05, -3.3556e+01, -8.1075e+01
3.87021506e+05, -3.3239e+01, -8.1161e+01
3.76043416e+05, -3.3043e+01, -8.1094e+01
3.65376726e+05, -3.2706e+01, -8.1036e+01
3.55012603e+05, -3.2409e+01, -8.0820e+01
3.44942464e+05, -3.2194e+01, -8.1069e+01
3.35157971e+05, -3.1956e+01, -8.1162e+01
3.25651020e+05, -3.1669e+01, -8.1096e+01
3.16413740e+05, -3.1419e+01, -8.1268e+01
3.07438480e+05, -3.1140e+01, -8.0965e+01
2.98717809e+05, -3.0885e+01, -8.0910e+01
2.90244504e+05, -3.0695e+01, -8.0625e+01
2.82011550e+05, -3.0372e+01, -8.1203e+01
2.74012129e+05, -3.0177e+01, -8.0435e+01
2.66239615e+05, -2.9970e+01, -8.1118e+01
2.58687574e+05, -2.9671e+01, -8.0683e+01
2.51349751e+05, -2.9408e+01, -8.0381e+01
2.44220069e+05, -2.9164e+01, -8.0228e+01
2.37292625e+05, -2.8980e+01, -8.0498e+01
2.30561681e+05, -2.8676e+01, -8.0011e+01
2.24021665e+05, -2.8487e+01, -8.0215e+01
2.17667160e+05, -2.8212e+01, -8.0230e+01
2.11492905e+05, -2.7986e+01, -8.0114e+01
2.05493786e+05, -2.7798e+01, -7.9805e+01
1.99664835e+05, -2.7436e+01, -7.9600e+01
1.94001226e+05, -2.7298e+01, -7.9610e+01
1.88498268e+05, -2.7019e+01, -7.9345e+01
1.83151405e+05, -2.6799e+01, -7.9332e+01
1.77956209e+05, -2.6553e+01, -7.8936e+01
1.72908378e+05, -2.6342e+01, -7.8289e+01
1.68003731e+05, -2.6092e+01, -7.9066e+01
1.63238208e+05, -2.5946e+01, -7.8965e+01
1.58607861e+05, -2.5694e+01, -7.8468e+01
1.54108857e+05, -2.5555e+01, -7.8077e+01
1.49737470e+05, -2.5265e+01, -7.8842e+01
1.45490079e+05, -2.5006e+01, -7.7837e+01
1.41363169e+05, -2.4844e+01, -7.7994e+01
1.37353320e+05, -2.4480e+01, -7.8221e+01
1.33457213e+05, -2.4193e+01, -7.7704e+01
1.29671622e+05, -2.4034e+01, -7.7647e+01
1.25993411e+05, -2.3780e+01, -7.7337e+01
1.22419535e+05, -2.3533e+01, -7.6734e+01
1.18947033e+05, -2.3206e+01, -7.6249e+01
1.15573032e+05, -2.3044e+01, -7.5610e+01
1.12294735e+05, -2.2814e+01, -7.5391e+01
1.09109430e+05, -2.2575e+01, -7.5241e+01
1.06014478e+05, -2.2320e+01, -7.4331e+01
1.03007315e+05, -2.2034e+01, -7.4233e+01
1.00085453e+05, -2.1793e+01, -7.3829e+01
9.72464709e+04, -2.1593e+01, -7.3357e+01
9.44880182e+04, -2.1348e+01, -7.3215e+01
9.18078107e+04, -2.1103e+01, -7.2315e+01
8.92036288e+04, -2.0890e+01, -7.2056e+01
8.66733160e+04, -2.0675e+01, -7.1643e+01
8.42147770e+04, -2.0439e+01, -7.1321e+01
8.18259759e+04, -2.0239e+01, -7.0820e+01
7.95049345e+04, -2.0045e+01, -7.0492e+01
7.72497308e+04, -1.9835e+01, -6.9739e+01
7.50584973e+04, -1.9586e+01, -6.9102e+01
7.29294194e+04, -1.9385e+01, -6.8947e+01
7.08607340e+04, -1.9182e+01, -6.8119e+01
6.88507281e+04, -1.8973e+01, -6.7706e+01
6.68977372e+04, -1.8762e+01, -6.7072e+01
6.50001440e+04, -1.8521e+01, -6.6374e+01
6.31563771e+04, -1.8295e+01, -6.5815e+01
6.13649098e+04, -1.8097e+01, -6.5393e+01
5.96242584e+04, -1.7839e+01, -6.4472e+01
5.79329817e+04, -1.7658e+01, -6.3776e+01
5.62896790e+04, -1.7441e+01, -6.3234e+01
5.46929895e+04, -1.7222e+01, -6.2696e+01
5.31415911e+04, -1.7029e+01, -6.1759e+01
5.16341990e+04, -1.6840e+01, -6.1119e+01
5.01695649e+04, -1.6635e+01, -6.0427e+01
4.87464760e+04, -1.6418e+01, -5.9785e+01
4.73637539e+04, -1.6238e+01, -5.9026e+01
4.60202535e+04, -1.6061e+01, -5.8104e+01
4.47148622e+04, -1.5853e+01, -5.7522e+01
4.34464992e+04, -1.5650e+01, -5.6593e+01
4.22141140e+04, -1.5470e+01, -5.5814e+01
4.10166861e+04, -1.5263e+01, -5.5120e+01
3.98532239e+04, -1.5077e+01, -5.4134e+01
3.87227641e+04, -1.4924e+01, -5.3220e+01
3.76243704e+04, -1.4743e+01, -5.2519e+01
3.65571332e+04, -1.4541e+01, -5.1220e+01
3.55201689e+04, -1.4355e+01, -5.0485e+01
3.45126187e+04, -1.4204e+01, -4.9669e+01
3.35336482e+04, -1.4058e+01, -4.8705e+01
3.25824467e+04, -1.3836e+01, -4.7745e+01
3.16582267e+04, -1.3701e+01, -4.6713e+01
3.07602227e+04, -1.3512e+01, -4.5925e+01
2.98876911e+04, -1.3366e+01, -4.4807e+01
2.90399094e+04, -1.3205e+01, -4.3888e+01
2.82161755e+04, -1.3053e+01, -4.2739e+01
2.74158072e+04, -1.2866e+01, -4.1736e+01
2.66381419e+04, -1.2762e+01, -4.0836e+01
2.58825356e+04, -1.2644e+01, -3.9623e+01
2.51483624e+04, -1.2493e+01, -3.8562e+01
2.44350145e+04, -1.2343e+01, -3.7674e+01
2.37419011e+04, -1.2216e+01, -3.6353e+01
2.30684483e+04, -1.2095e+01, -3.5296e+01
2.24140983e+04, -1.1981e+01, -3.4131e+01
2.17783094e+04, -1.1861e+01, -3.3122e+01
2.11605550e+04, -1.1769e+01, -3.1938e+01
2.05603235e+04, -1.1635e+01, -3.0802e+01
1.99771180e+04, -1.1538e+01, -2.9933e+01
1.94104554e+04, -1.1421e+01, -2.8673e+01
1.88598666e+04, -1.1336e+01, -2.7418e+01
1.83248955e+04, -1.1251e+01, -2.6305e+01
1.78050992e+04, -1.1173e+01, -2.5248e+01
1.73000472e+04, -1.1077e+01, -2.4034e+01
1.68093213e+04, -1.1016e+01, -2.2931e+01
1.63325151e+04, -1.0933e+01, -2.1881e+01
1.58692339e+04, -1.0852e+01, -2.0597e+01
1.54190938e+04, -1.0787e+01, -1.9721e+01
1.49817223e+04, -1.0715e+01, -1.8493e+01
1.45567570e+04, -1.0686e+01, -1.7062e+01
1.41438461e+04, -1.0599e+01, -1.5968e+01
1.37426477e+04, -1.0570e+01, -1.5065e+01
1.33528295e+04, -1.0512e+01, -1.3677e+01
1.29740687e+04, -1.0513e+01, -1.2441e+01
1.26060517e+04, -1.0460e+01, -1.1452e+01
1.22484738e+04, -1.0412e+01, -1.0129e+01
1.19010387e+04, -1.0416e+01, -9.1341e+00
1.15634588e+04, -1.0381e+01, -7.7956e+00
1.12354546e+04, -1.0334e+01, -6.4339e+00
1.09167544e+04, -1.0330e+01, -5.4299e+00
1.06070943e+04, -1.0304e+01, -4.2517e+00
1.03062179e+04, -1.0305e+01, -3.2900e+00
1.00138760e+04, -1.0280e+01, -1.8825e+00
9.72982661e+03, -1.0320e+01, -9.5266e-01
9.45383442e+03, -1.0284e+01, 3.4003e-01
9.18567091e+03, -1.0280e+01, 1.5102e+00
8.92511402e+03, -1.0286e+01, 2.8084e+00
8.67194797e+03, -1.0278e+01, 3.7381e+00
8.42596313e+03, -1.0320e+01, 5.0773e+00
8.18695578e+03, -1.0324e+01, 6.1639e+00
7.95472802e+03, -1.0325e+01, 7.2257e+00
7.72908754e+03, -1.0403e+01, 8.5884e+00
7.50984748e+03, -1.0399e+01, 9.6318e+00
7.29682629e+03, -1.0433e+01, 1.0764e+01
7.08984757e+03, -1.0464e+01, 1.1905e+01
6.88873992e+03, -1.0535e+01, 1.3236e+01
6.69333681e+03, -1.0572e+01, 1.4050e+01
6.50347642e+03, -1.0581e+01, 1.5586e+01
6.31900153e+03, -1.0685e+01, 1.6654e+01
6.13975938e+03, -1.0699e+01, 1.7653e+01
5.96560154e+03, -1.0766e+01, 1.8826e+01
5.79638378e+03, -1.0820e+01, 2.0094e+01
5.63196599e+03, -1.0898e+01, 2.1207e+01
5.47221200e+03, -1.0973e+01, 2.2218e+01
5.31698952e+03, -1.1060e+01, 2.3608e+01
5.16617002e+03, -1.1154e+01, 2.4637e+01
5.01962861e+03, -1.1201e+01, 2.5870e+01
4.87724392e+03, -1.1318e+01, 2.7033e+01
4.73889807e+03, -1.1435e+01, 2.7930e+01
4.60447647e+03, -1.1464e+01, 2.9139e+01
4.47386782e+03, -1.1561e+01, 3.0394e+01
4.34696395e+03, -1.1684e+01, 3.1314e+01
4.22365980e+03, -1.1830e+01, 3.2762e+01
4.10385323e+03, -1.1914e+01, 3.3515e+01
3.98744505e+03, -1.2015e+01, 3.4756e+01
3.87433885e+03, -1.2121e+01, 3.5537e+01
3.76444098e+03, -1.2271e+01, 3.7050e+01
3.65766042e+03, -1.2387e+01, 3.7917e+01
3.55390876e+03, -1.2539e+01, 3.8900e+01
3.45310007e+03, -1.2647e+01, 3.9949e+01
3.35515088e+03, -1.2820e+01, 4.1444e+01
3.25998007e+03, -1.2952e+01, 4.2385e+01
3.16750884e+03, -1.3105e+01, 4.3178e+01
3.07766061e+03, -1.3299e+01, 4.4526e+01
2.99036098e+03, -1.3440e+01, 4.5371e+01
2.90553765e+03, -1.3592e+01, 4.6601e+01
2.82312039e+03, -1.3778e+01, 4.7212e+01
2.74304094e+03, -1.3885e+01, 4.8414e+01
2.66523299e+03, -1.4089e+01, 4.9300e+01
2.58963210e+03, -1.4222e+01, 4.9755e+01
2.51617568e+03, -1.4398e+01, 5.1125e+01
2.44480290e+03, -1.4624e+01, 5.1644e+01
2.37545464e+03, -1.4776e+01, 5.2717e+01
2.30807349e+03, -1.4908e+01, 5.3614e+01
2.24260365e+03, -1.5195e+01, 5.4587e+01
2.17899089e+03, -1.5301e+01, 5.5407e+01
2.11718255e+03, -1.5499e+01, 5.6322e+01
2.05712743e+03, -1.5661e+01, 5.7196e+01
1.99877582e+03, -1.5901e+01, 5.7639e+01
1.94207938e+03, -1.6019e+01, 5.8503e+01
1.88699117e+03, -1.6266e+01, 5.9816e+01
1.83346557e+03, -1.6448e+01, 6.0213e+01
1.78145825e+03, -1.6724e+01, 6.1368e+01
1.73092615e+03, -1.6852e+01, 6.1362e+01
1.68182743e+03, -1.7057e+01, 6.2255e+01
1.63412141e+03, -1.7252e+01, 6.3855e+01
1.58776861e+03, -1.7535e+01, 6.4074e+01
1.54273063e+03, -1.7770e+01, 6.5220e+01
1.49897018e+03, -1.7945e+01, 6.5859e+01
1.45645102e+03, -1.8254e+01, 6.5639e+01
1.41513794e+03, -1.8410e+01, 6.6286e+01
1.37499673e+03, -1.8602e+01, 6.7343e+01
1.33599415e+03, -1.8797e+01, 6.7681e+01
1.29809790e+03, -1.9044e+01, 6.8517e+01
1.26127659e+03, -1.9208e+01, 6.8638e+01
1.22549975e+03, -1.9450e+01, 6.9680e+01
1.19073774e+03, -1.9709e+01, 7.0712e+01
1.15696177e+03, -1.9868e+01, 6.9836e+01
1.12414388e+03, -2.0058e+01, 7.0095e+01
1.09225688e+03, -2.0293e+01, 7.1279e+01
1.06127438e+03, -2.0548e+01, 7.1728e+01
1.03117072e+03, -2.0569e+01, 7.2220e+01
1.00192096e+03, -2.0852e+01, 7.3230e+01
9.73500889e+02, -2.1075e+01, 7.3167e+01
9.45886970e+02, -2.1525e+01, 7.3304e+01
9.19056336e+02, -2.1669e+01, 7.5050e+01
8.92986769e+02, -2.1830e+01, 7.4149e+01
8.67656680e+02, -2.2182e+01, 7.4825e+01
8.43045094e+02, -2.2358e+01, 7.5513e+01
8.19131630e+02, -2.2640e+01, 7.6244e+01
7.95896485e+02, -2.2751e+01, 7.5445e+01
7.73320419e+02, -2.2943e+01, 7.6235e+01
7.51384736e+02, -2.3320e+01, 7.6919e+01
7.30071271e+02, -2.3434e+01, 7.6772e+01
7.09362375e+02, -2.3784e+01, 7.6487e+01
6.89240899e+02, -2.4175e+01, 7.6794e+01
6.69690180e+02, -2.4176e+01, 7.9746e+01
6.50694029e+02, -2.4360e+01, 7.8428e+01
6.32236714e+02, -2.4580e+01, 7.8191e+01
6.14302952e+02, -2.4768e+01, 7.8897e+01
5.96877892e+02, -2.5314e+01, 8.2600e+01
5.79947104e+02, -2.5309e+01, 8.0735e+01
5.63496567e+02, -2.5474e+01, 8.0069e+01
5.47512659e+02, -2.5561e+01, 8.1583e+01
5.31982144e+02, -2.6088e+01, 8.0474e+01
5.16892162e+02, -2.6575e+01, 8.0663e+01
5.02230215e+02, -2.6718e+01, 7.9426e+01
4.87984163e+02, -2.6662e+01, 7.9205e+01
4.74142209e+02, -2.6603e+01, 8.1686e+01
4.60692889e+02, -2.7141e+01, 8.3059e+01
4.47625068e+02, -2.7482e+01, 8.5121e+01
4.34927922e+02, -2.7537e+01, 8.1165e+01
4.22590939e+02, -2.7579e+01, 8.2810e+01
4.10603901e+02, -2.8359e+01, 8.7134e+01
3.98956883e+02, -2.8386e+01, 8.1319e+01
3.87640239e+02, -2.8830e+01, 8.0844e+01
3.76644598e+02, -2.9451e+01, 8.3481e+01
3.65960855e+02, -2.8708e+01, 8.2587e+01
3.55580163e+02, -3.0025e+01, 8.4325e+01
3.45493925e+02, -3.0033e+01, 8.4596e+01
3.35693789e+02, -2.9928e+01, 8.3929e+01
3.26171640e+02, -3.0121e+01, 8.7023e+01
3.16919591e+02, -3.0710e+01, 8.4990e+01
3.07929983e+02, -3.0589e+01, 8.3502e+01
2.99195370e+02, -3.0912e+01, 7.9247e+01
2.90708519e+02, -3.1282e+01, 8.3524e+01
2.82462403e+02, -3.1904e+01, 8.4274e+01
2.74450193e+02, -3.1143e+01, 8.7020e+01
2.66665254e+02, -3.1597e+01, 8.5788e+01
2.59101139e+02, -3.2173e+01, 8.6480e+01
2.51751584e+02, -3.2603e+01, 9.3544e+01
2.44610504e+02, -3.2264e+01, 8.6762e+01
2.37671985e+02, -3.2224e+01, 8.4784e+01
2.30930281e+02, -3.3175e+01, 8.7011e+01
2.24379810e+02, -3.3463e+01, 8.7834e+01
2.18015146e+02, -3.3550e+01, 8.6040e+01
2.11831019e+02, -3.3508e+01, 8.5790e+01
2.05822309e+02, -3.4103e+01, 7.3069e+01
1.99984040e+02, -3.4890e+01, 9.3541e+01
1.94311376e+02, -3.4790e+01, 8.8575e+01
1.88799621e+02, -3.4923e+01, 8.4241e+01
1.83444210e+02, -3.5279e+01, 8.7209e+01
1.78240709e+02, -3.5019e+01, 9.0504e+01
1.73184807e+02, -3.6291e+01, 8.9197e+01
1.68272320e+02, -3.5427e+01, 8.7024e+01
1.63499177e+02, -3.6065e+01, 9.5488e+01
1.58861428e+02, -3.5491e+01, 9.0720e+01
1.54355231e+02, -3.6359e+01, 8.0681e+01
1.49976856e+02, -3.7552e+01, 8.5362e+01
1.45722675e+02, -3.7160e+01, 8.3436e+01
1.41589167e+02, -3.7484e+01, 8.9561e+01
1.37572908e+02, -3.7230e+01, 8.1307e+01
1.33670572e+02, -3.8309e+01, 9.2419e+01
1.29878929e+02, -3.8275e+01, 8.9714e+01
1.26194837e+02, -3.7992e+01, 9.7101e+01
1.22615247e+02, -3.8660e+01, 8.2262e+01
1.19137195e+02, -3.9496e+01, 8.2086e+01
1.15757799e+02, -4.0437e+01, 8.6543e+01
1.12474262e+02, -3.9290e+01, 7.5610e+01
1.09283864e+02, -3.9897e+01, 9.0333e+01
1.06183963e+02, -3.9702e+01, 9.8610e+01
1.03171994e+02, -4.0259e+01, 9.5734e+01
1.00245460e+02, -3.9865e+01, 8.9315e+01
9.74019392e+01, -4.1678e+01, 9.4564e+01
9.46390766e+01, -3.9930e+01, 8.4526e+01
9.19545842e+01, -4.2532e+01, 8.1264e+01
8.93462390e+01, -4.2382e+01, 9.7737e+01
8.68118810e+01, -4.1377e+01, 8.0700e+01
8.43494115e+01, -4.1425e+01, 8.2749e+01
8.19567914e+01, -4.1609e+01, 8.6163e+01
7.96320394e+01, -4.2918e+01, 9.4560e+01
7.73732303e+01, -3.9592e+01, 9.1970e+01
7.51784936e+01, -4.6572e+01, 8.4670e+01
7.30460120e+01, -4.3189e+01, 6.4843e+01
7.09740194e+01, -4.2700e+01, 8.6491e+01
6.89608001e+01, -4.3698e+01, 7.4714e+01
6.70046869e+01, -4.3129e+01, 1.0111e+02
6.51040600e+01, -4.7575e+01, 1.1104e+02
6.32573455e+01, -4.7110e+01, 1.0683e+02
6.14630141e+01, -4.2205e+01, 1.0468e+02
5.97195800e+01, -4.6149e+01, 1.0765e+02
5.80255994e+01, -4.4115e+01, 9.4395e+01
5.63796695e+01, -4.6139e+01, 1.0446e+02
5.47804274e+01, -4.4930e+01, 9.5785e+01
5.32265488e+01, -4.6336e+01, 9.3197e+01
5.17167468e+01, -4.4470e+01, 8.3776e+01
5.02497712e+01, -4.4301e+01, 9.2560e+01
4.88244072e+01, -4.4960e+01, 5.3983e+01
4.74394745e+01, -4.6785e+01, 9.9124e+01
4.60938262e+01, -5.2093e+01, 7.0367e+01
4.47863481e+01, -4.6320e+01, 8.8210e+01
4.35159573e+01, -5.1691e+01, 7.3346e+01
4.22816018e+01, -4.9304e+01, 7.6365e+01
4.10822596e+01, -5.3554e+01, 1.0694e+02
3.99169375e+01, -4.8317e+01, 7.1317e+01
3.87846703e+01, -4.6617e+01, 9.0539e+01
3.76845206e+01, -5.0093e+01, 7.5777e+01
3.66155773e+01, -4.6940e+01, 8.6784e+01
3.55769551e+01, -4.8135e+01, 7.7959e+01
3.45677941e+01, -4.4616e+01, 9.1449e+01
3.35872585e+01, -4.8673e+01, 1.0701e+02
3.26345364e+01, -4.8035e+01, 1.0002e+02
3.17088388e+01, -4.6763e+01, 7.2373e+01
3.08093992e+01, -4.7855e+01, 1.1977e+02
2.99354727e+01, -5.2224e+01, 1.0271e+02
2.90863356e+01, -4.7958e+01, 5.4400e+01
2.82612848e+01, -5.1374e+01, 6.1807e+01
