
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.57519517e+04, 1.1267e-01, 3.0835e-01
1.48185960e+04, 9.7915e-02, 3.5359e-01
1.39405447e+04, 9.6407e-02, 3.1674e-01
1.31145210e+04, 9.8318e-02, 2.9264e-01
1.23374418e+04, 1.0024e-01, 3.0140e-01
1.16064073e+04, 9.0230e-02, 2.6934e-01
1.09186889e+04, 8.6573e-02, 2.8916e-01
1.02717202e+04, 8.3456e-02, 3.7417e-01
9.66308648e+03, 8.5513e-02, 3.1138e-01
9.09051638e+03, 7.6979e-02, 3.2518e-01
8.55187295e+03, 7.4457e-02, 2.6839e-01
8.04514595e+03, 7.5945e-02, 3.3652e-01
7.56844422e+03, 7.6403e-02, 2.5419e-01
7.11998865e+03, 6.5533e-02, 2.3638e-01
6.69810557e+03, 6.6045e-02, 2.1089e-01
6.30122047e+03, 6.8454e-02, 1.9759e-01
5.92785214e+03, 5.8664e-02, 2.3440e-01
5.57660712e+03, 6.1780e-02, 1.3294e-01
5.24617455e+03, 5.8035e-02, 1.8018e-01
4.93532121e+03, 5.6747e-02, 2.0484e-01
4.64288696e+03, 5.0992e-02, 2.1621e-01
4.36778042e+03, 5.7708e-02, 1.1727e-01
4.10897486e+03, 5.8890e-02, 1.6166e-01
3.86550439e+03, 6.0613e-02, 1.2459e-01
3.63646036e+03, 5.8610e-02, 1.3613e-01
3.42098795e+03, 5.4135e-02, 5.4914e-02
3.21828301e+03, 5.6487e-02, 1.8505e-01
3.02758900e+03, 6.1715e-02, 1.2593e-01
2.84819425e+03, 4.9515e-02, 4.0013e-02
2.67942924e+03, 7.0206e-02, 9.9411e-02
2.52066412e+03, 4.7849e-02, 1.7950e-01
2.37130636e+03, 4.4718e-02, 8.0170e-02
2.23079855e+03, 5.4466e-02, 1.0538e-02
2.09861629e+03, 4.2309e-02, 1.0602e-01
1.97426628e+03, 3.1901e-02, 9.2939e-02
1.85728442e+03, 5.5837e-02, 1.1531e-01
1.74723412e+03, 4.6309e-02, 1.5360e-02
1.64370467e+03, 5.2423e-02, 5.8067e-02
1.54630968e+03, 5.1185e-02, 2.0181e-02
1.45468568e+03, 6.2306e-02, 1.0398e-01
1.36849070e+03, 4.0129e-02, 5.9399e-03
1.28740306e+03, 4.5755e-02, -5.9640e-03
1.21112013e+03, 5.6168e-02, 4.3749e-02
1.13935722e+03, 4.6636e-02, 1.2274e-01
1.07184651e+03, 7.0230e-02, 7.7097e-02
1.00833603e+03, 4.0579e-02, 7.4379e-02
9.48588753e+02, 4.8614e-02, 4.0350e-03
8.92381705e+02, 2.6942e-02, 9.1241e-02
8.39505112e+02, 5.4901e-02, 1.8300e-01
7.89761634e+02, 6.0793e-02, -6.7026e-03
7.42965622e+02, 5.7210e-02, 2.7117e-02
6.98942431e+02, 5.0437e-02, -3.5073e-03
6.57527760e+02, 3.9401e-02, 7.9449e-02
6.18567047e+02, 5.2503e-02, 3.3985e-03
5.81914886e+02, 6.5227e-02, 1.4192e-01
5.47434488e+02, 5.8811e-02, 1.2461e-02
5.14997168e+02, 4.7696e-02, -7.4203e-02
4.84481868e+02, 4.9948e-02, 8.0184e-02
4.55774701e+02, 3.4164e-02, -1.3594e-02
