% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 3.440054 Hz with 256 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-10-24 T 16:25:22 +0100
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.90139929e+04, -1.1429e+00, 2.6494e+00
2.72948171e+04, -1.1434e+00, 2.8387e+00
2.56775081e+04, -1.1496e+00, 2.9868e+00
2.41560301e+04, -1.1508e+00, 3.2172e+00
2.27247047e+04, -1.1629e+00, 3.3926e+00
2.13781902e+04, -1.1643e+00, 3.6852e+00
2.01114611e+04, -1.1674e+00, 3.8805e+00
1.89197899e+04, -1.1793e+00, 4.0757e+00
1.77987293e+04, -1.1883e+00, 4.3691e+00
1.67440952e+04, -1.1822e+00, 4.6497e+00
1.57519517e+04, -1.1931e+00, 4.8799e+00
1.48185960e+04, -1.1944e+00, 5.1906e+00
1.39405447e+04, -1.2149e+00, 5.5401e+00
1.31145210e+04, -1.2257e+00, 5.8031e+00
1.23374418e+04, -1.2303e+00, 6.1415e+00
1.16064073e+04, -1.2360e+00, 6.5441e+00
1.09186889e+04, -1.2429e+00, 6.8086e+00
1.02717202e+04, -1.2540e+00, 7.2556e+00
9.66308648e+03, -1.2749e+00, 7.6686e+00
9.09051638e+03, -1.2757e+00, 8.1429e+00
8.55187295e+03, -1.2843e+00, 8.6420e+00
8.04514595e+03, -1.2997e+00, 9.1231e+00
7.56844422e+03, -1.3239e+00, 9.6980e+00
7.11998865e+03, -1.3519e+00, 1.0235e+01
6.69810557e+03, -1.3564e+00, 1.0868e+01
6.30122047e+03, -1.3780e+00, 1.1432e+01
5.92785214e+03, -1.4095e+00, 1.2196e+01
5.57660712e+03, -1.4305e+00, 1.2951e+01
5.24617455e+03, -1.4579e+00, 1.3658e+01
4.93532121e+03, -1.4850e+00, 1.4439e+01
4.64288696e+03, -1.5258e+00, 1.5277e+01
4.36778042e+03, -1.5609e+00, 1.6215e+01
4.10897486e+03, -1.6117e+00, 1.7152e+01
3.86550439e+03, -1.6556e+00, 1.8113e+01
3.63646036e+03, -1.7279e+00, 1.9151e+01
3.42098795e+03, -1.7764e+00, 2.0227e+01
3.21828301e+03, -1.8434e+00, 2.1445e+01
3.02758900e+03, -1.9098e+00, 2.2458e+01
2.84819425e+03, -2.0045e+00, 2.3852e+01
2.67942924e+03, -2.0982e+00, 2.5222e+01
2.52066412e+03, -2.2036e+00, 2.6580e+01
2.37130636e+03, -2.3048e+00, 2.7910e+01
2.23079855e+03, -2.4345e+00, 2.9437e+01
2.09861629e+03, -2.5699e+00, 3.1002e+01
1.97426628e+03, -2.7085e+00, 3.2418e+01
1.85728442e+03, -2.8462e+00, 3.4024e+01
1.74723412e+03, -3.0349e+00, 3.5716e+01
1.64370467e+03, -3.2053e+00, 3.7291e+01
1.54630968e+03, -3.4170e+00, 3.9050e+01
1.45468568e+03, -3.6213e+00, 4.0789e+01
1.36849070e+03, -3.8417e+00, 4.2639e+01
1.28740306e+03, -4.1091e+00, 4.4223e+01
1.21112013e+03, -4.3863e+00, 4.5887e+01
1.13935722e+03, -4.7121e+00, 4.7809e+01
1.07184651e+03, -4.9850e+00, 4.9289e+01
1.00833603e+03, -5.3178e+00, 5.1172e+01
9.48588753e+02, -5.6521e+00, 5.2622e+01
8.92381705e+02, -5.9903e+00, 5.4445e+01
8.39505112e+02, -6.3607e+00, 5.6127e+01
7.89761634e+02, -6.7112e+00, 5.7613e+01
7.42965622e+02, -7.0970e+00, 5.9292e+01
6.98942431e+02, -7.5197e+00, 6.0801e+01
6.57527760e+02, -7.8854e+00, 6.2235e+01
6.18567047e+02, -8.3651e+00, 6.3808e+01
5.81914886e+02, -8.7710e+00, 6.4972e+01
5.47434488e+02, -9.1826e+00, 6.6275e+01
5.14997168e+02, -9.7161e+00, 6.7585e+01
4.84481868e+02, -1.0140e+01, 6.8426e+01
4.55774701e+02, -1.0605e+01, 6.9812e+01
4.28768530e+02, -1.1036e+01, 7.0828e+01
4.03362564e+02, -1.1527e+01, 7.1556e+01
3.79461986e+02, -1.2063e+01, 7.2876e+01
3.56977598e+02, -1.2531e+01, 7.3433e+01
3.35825484e+02, -1.3084e+01, 7.5565e+01
3.15926704e+02, -1.3513e+01, 7.5427e+01
2.97206993e+02, -1.3985e+01, 7.6499e+01
2.79596487e+02, -1.4590e+01, 7.7358e+01
2.63029463e+02, -1.5066e+01, 7.8198e+01
