	mass_A
t	x
2.170333E1	1.750808E-3
2.170667E1	3.364672E-3
2.171167E1	4.843013E-3
2.171500E1	6.027642E-3
2.172000E1	7.678047E-3
2.172333E1	9.249857E-3
2.172833E1	1.078038E-2
2.173167E1	1.380742E-2
2.174000E1	1.535716E-2
2.174500E1	1.836345E-2
2.175333E1	2.003510E-2
2.175667E1	2.147913E-2
2.176167E1	2.284914E-2
2.176500E1	2.430811E-2
2.177000E1	2.576251E-2
2.177333E1	2.728326E-2
2.177833E1	2.883909E-2
2.178167E1	3.009329E-2
2.178667E1	3.155431E-2
2.179000E1	3.288790E-2
2.179500E1	3.566124E-2
2.180333E1	3.856965E-2
2.181167E1	3.986741E-2
2.181500E1	4.099955E-2
2.182000E1	4.220669E-2
2.182333E1	4.383421E-2
2.182833E1	4.539917E-2
2.183167E1	4.662819E-2
2.183667E1	4.788959E-2
2.184000E1	4.919107E-2
2.184500E1	5.065768E-2
2.184833E1	5.209057E-2
2.185333E1	5.318553E-2
2.185667E1	5.464920E-2
2.186167E1	5.725036E-2
2.187000E1	5.853773E-2
2.187333E1	6.110622E-2
2.188167E1	6.242979E-2
2.188667E1	6.350480E-2
2.189000E1	6.488042E-2
2.189500E1	6.620462E-2
2.189833E1	6.744737E-2
2.190333E1	6.871790E-2
2.190667E1	6.993151E-2
2.191167E1	7.132792E-2
2.191500E1	7.242159E-2
2.192000E1	7.352191E-2
2.192333E1	7.460877E-2
2.192833E1	7.951853E-2
2.194500E1	8.079356E-2
2.194833E1	8.184185E-2
2.195333E1	8.292264E-2
2.195667E1	8.418997E-2
2.196167E1	8.530570E-2
2.196500E1	8.640015E-2
2.197000E1	8.769175E-2
2.197333E1	8.869282E-2
2.197833E1	9.007531E-2
2.198167E1	9.103919E-2
2.198667E1	9.208165E-2
2.199000E1	9.309593E-2
2.199500E1	9.397817E-2
2.199833E1	9.594628E-2
2.200833E1	9.708435E-2
2.201167E1	9.790180E-2
2.201667E1	9.898916E-2
2.202000E1	9.980321E-2
2.202500E1	1.006196E-1
2.202833E1	1.018575E-1
2.203333E1	1.027380E-1
2.203667E1	1.036825E-1
2.204167E1	1.046472E-1
2.204500E1	1.055940E-1
2.205000E1	1.065471E-1
2.205333E1	1.083612E-1
2.206167E1	1.093448E-1
2.206667E1	1.109849E-1
2.207500E1	1.117786E-1
2.207833E1	1.127694E-1
2.208333E1	1.134124E-1
2.208667E1	1.145584E-1
2.209167E1	1.154928E-1
2.209500E1	1.161163E-1
2.210000E1	1.171591E-1
2.210333E1	1.178679E-1
2.210833E1	1.184787E-1
2.211167E1	1.193578E-1
2.211667E1	1.202340E-1
2.212000E1	1.217203E-1
2.212833E1	1.225564E-1
2.213333E1	1.232834E-1
2.213667E1	1.240780E-1
2.214167E1	1.247411E-1
2.214500E1	1.254021E-1
2.215000E1	1.260934E-1
2.215333E1	1.268532E-1
2.215833E1	1.274708E-1
2.216167E1	1.278447E-1
2.216667E1	1.281418E-1
2.217000E1	1.289684E-1
2.217500E1	1.293848E-1
2.217833E1	1.295889E-1
2.218333E1	1.308073E-1
2.219167E1	1.313106E-1
2.219500E1	1.323876E-1
2.220333E1	1.329208E-1
2.220833E1	1.334410E-1
2.221167E1	1.340537E-1
2.221667E1	1.347804E-1
2.222000E1	1.350399E-1
2.222500E1	1.356048E-1
2.222833E1	1.361049E-1
2.223333E1	1.366086E-1
2.223667E1	1.368571E-1
2.224167E1	1.373311E-1
2.224500E1	1.377236E-1
2.225000E1	1.386262E-1
2.225833E1	1.391178E-1
2.226167E1	1.397127E-1
2.226667E1	1.398443E-1
2.227000E1	1.400828E-1
2.227500E1	1.403404E-1
2.227833E1	1.408711E-1
2.228333E1	1.406611E-1
2.228667E1	1.410964E-1
2.229167E1	1.413800E-1
2.229500E1	1.416103E-1
2.230000E1	1.419621E-1
2.230333E1	1.419955E-1
2.230833E1	1.424776E-1
2.231667E1	1.433277E-1
2.232500E1	1.434142E-1
2.232833E1	1.436799E-1
2.233333E1	1.441279E-1
2.233667E1	1.447494E-1
2.234167E1	1.442729E-1
2.234500E1	1.440577E-1
2.235000E1	1.441351E-1
2.235333E1	1.440858E-1
2.235833E1	1.445428E-1
2.236167E1	1.448637E-1
2.236667E1	1.446980E-1
2.237000E1	1.445394E-1
2.237500E1	1.446473E-1
2.238667E1	1.447936E-1
2.239167E1	1.451799E-1
2.239500E1	1.449416E-1
2.240000E1	1.452848E-1
2.240333E1	1.447794E-1
2.240833E1	1.453135E-1
2.241167E1	1.446709E-1
2.241667E1	1.449062E-1
2.242000E1	1.445225E-1
2.242500E1	1.449337E-1
2.242833E1	1.444206E-1
2.243333E1	1.447565E-1
2.243667E1	1.440971E-1
2.244167E1	1.438506E-1
2.245000E1	1.435882E-1
2.245333E1	1.431852E-1
