11.5,8
15,7
20,7
25,9
30,6
35,5
40,5
45,3
50,3
55,4
60,3
65,4
70,3
75,2.5
80,2
90,3
100,2.5
21,5
22,7
23,5
24,5
25,6
26,11
27,7
28,19
29,18
31,4
32,5.5
33,5
34,5
23.1666666,4
23.333333,4.5
23.5,5
23.666666,3
23.8333333,5
24.16666666,3
24.3333333,4
24.5,3
24.6666666,3.5
24.83333333,4
25.16666666,7
25.3333333,7.5
25.5,7
25.6666666,8
25.8333333,8
26.1666666,7
26.3333333,6.5
26.5,5
26.6666666,4
26.8333333,6
27.166666,3.5
27.333333,4.5
27.5,4
27.666666,6.5
27.833333,10.5
28.1666666,17
28.333333,17
28.5,21
28.666666,22
28.833333,18.5
29.1666666,12
29.3333333,8
29.5,7
29.6666666,5
29.8333333,5
30.1666666,3
30.3333333,4
30.5,3
30.666666,4
30.833333,4
