	mass_A
t	x
2.175667E1	3.034817E-1
2.176167E1	3.053768E-1
2.176500E1	3.064831E-1
2.177000E1	3.080199E-1
2.177333E1	3.095559E-1
2.177833E1	3.126890E-1
2.178167E1	3.132663E-1
2.178667E1	3.136512E-1
2.179000E1	3.165376E-1
2.179500E1	3.182694E-1
2.180333E1	3.205786E-1
2.181167E1	3.238498E-1
2.181500E1	3.263514E-1
2.182000E1	3.265438E-1
2.182333E1	3.261356E-1
2.182833E1	3.284885E-1
2.183167E1	3.298495E-1
2.183667E1	3.312105E-1
2.184000E1	3.331158E-1
2.184500E1	3.347490E-1
2.184833E1	3.361100E-1
2.185333E1	3.374710E-1
2.185667E1	3.382876E-1
2.186167E1	3.399207E-1
2.187000E1	3.420983E-1
2.187333E1	3.445481E-1
2.188167E1	3.467257E-1
2.188667E1	3.486310E-1
2.189000E1	3.516252E-1
2.189833E1	3.492374E-1
2.190333E1	3.503868E-1
2.190667E1	3.515246E-1
2.191167E1	3.526868E-1
2.191500E1	3.542054E-1
2.192000E1	3.550242E-1
2.192333E1	3.561568E-1
2.192833E1	3.611385E-1
2.194500E1	3.623150E-1
2.194833E1	3.630765E-1
2.195333E1	3.642098E-1
2.195667E1	3.653711E-1
2.196167E1	3.665163E-1
2.196500E1	3.676779E-1
2.197000E1	3.685474E-1
2.197333E1	3.696742E-1
2.197833E1	3.708091E-1
2.198167E1	3.715876E-1
2.198667E1	3.727173E-1
2.199000E1	3.738744E-1
2.199500E1	3.746487E-1
2.199833E1	3.769680E-1
2.200833E1	3.780557E-1
2.201167E1	3.788392E-1
2.201667E1	3.799984E-1
2.202000E1	3.811223E-1
2.202500E1	3.819044E-1
2.202833E1	3.827024E-1
2.203333E1	3.835274E-1
2.203667E1	3.846549E-1
2.204167E1	3.854401E-1
2.204500E1	3.865187E-1
2.205000E1	3.873495E-1
2.205333E1	3.892765E-1
2.206167E1	3.900313E-1
2.206667E1	3.915693E-1
2.207500E1	3.927178E-1
2.207833E1	3.935006E-1
2.208333E1	3.942706E-1
2.208667E1	3.950526E-1
2.209167E1	3.961524E-1
2.209500E1	3.969343E-1
2.210000E1	3.977451E-1
2.210333E1	3.984908E-1
2.210833E1	3.992479E-1
2.211167E1	4.000522E-1
2.211667E1	4.008614E-1
2.212000E1	4.023424E-1
2.212833E1	4.027562E-1
2.213333E1	4.034973E-1
2.213667E1	4.045832E-1
2.214167E1	4.050758E-1
2.214500E1	4.057992E-1
2.215000E1	4.062329E-1
