39,20
39.5,20
39.666666,31
39.83333333,40
40,60
40.166666,78
40.3333333,95
40.5,115
40.666666,125
40.833333,135
41,120
41.16666,112
41.333333,90
41.5,68
41.666666,53
41.833333,34
42,26
42.166666,25
42.333333,25
42.5,23
42.66666,22
42.833333,22
43,20
43.166666,21
43.333333,19
43.5,19
43.666666,18
43.8333333,22
44,20
44.166666,30
44.333333,82
44.5,141
44.666666,210
44.833333,312
45,376
45.166666,452
45.333333,484
45.5,504
45.666666,476
45.83333,412
46,340
46.1666666,240
46.333333,160
46.5,64
46.6666666,36
46.8333333,20
47,16
47.166666,19
47.3333333,17
47.5,14
47.6666666,17
47.8333333,15
48,19
48.166666,15
48.3333333,16
48.5,13
48.666666,18
48.8333333,19
49,18
50,14
51,12
52,10
53,13
54,11
55,12
56,10
61,8
66,6
71,7
76,6.5
81,4.5
86,6
91,6.5
96,5
101,39
106,6
111,7
116,5
121,4
38,21
37,21
36,24
35,21
34,26
33,28
32,29
31,25
30,27
25,30
20,31
15,19
11.5,3
