11.5,2
15,2.5
20,3
25,4
30,5
35,4.5
40,3
45,3
50,3
55,3
60,11
65,3
70,2.5
75,2
80,2
85,2
90,1.5
95,2
100,1
105,1
26,3
27,2.5
28,3
29,8
31,5
32,19
33,6
34,3
36,2.5
27.166666,3
27.333333,2.5
27.5,2
27.666666,3
27.833333,3
28.166666,4
28.333333,3
28.5,4.5
28.666666,6
28.833333,6
29.166666,6
29.333333,5.5
29.5,4
29.666666,6
29.833333,4
30.166666,4
30.333333,3
30.5,4
30.66666,3.5
30.833333,3
31.1666666,4
31.333333,5
31.5,6.5
31.666666,12
31.833333,19
32.166666,22
32.333333,20
32.5,13
32.666666,9
32.833333,5
33.166666,4
33.333333,3.5
33.5,3.5
33.66666,3
33.833333,2.5
56,2
57,2.5
58,2
59,4.5
61,3
62,3
63,2.5
64,3
58.166666,2
58.333333,2.5
58.5,2.5
58.666666,2
58.833333,2.5
59.166666,2.5
59.333333,4.5
59.5,5
59.666666,8
59.833333,8.5
60.166666,8
60.333333,5.5
60.5,5
60.66666,6
60.833333,3
61.1666666,2
61.333333,2.5
61.5,3
61.666666,3
61.833333,2
62.166666,2.5
62.333333,2
62.5,1.5
62.666666,1.5
62.833333,2
