10000
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
44868.5466, -2.8932e+01, -1.6523e+02
43891.6913, -2.8335e+01, -1.6467e+02
42936.1037, -2.7765e+01, -1.6412e+02
42001.3207, -2.7131e+01, -1.6385e+02
41086.8892, -2.6738e+01, -1.6315e+02
40192.3663, -2.6045e+01, -1.6214e+02
39317.3185, -2.5560e+01, -1.6112e+02
38461.3218, -2.5052e+01, -1.6072e+02
37623.9614, -2.4466e+01, -1.5964e+02
36804.8317, -2.4030e+01, -1.5941e+02
36003.5355, -2.3608e+01, -1.5867e+02
35219.6848, -2.3099e+01, -1.5809e+02
34452.8997, -2.2588e+01, -1.5713e+02
33702.8087, -2.2171e+01, -1.5616e+02
32969.0482, -2.1717e+01, -1.5511e+02
32251.2629, -2.1278e+01, -1.5480e+02
31549.1047, -2.0835e+01, -1.5395e+02
30862.2336, -2.0466e+01, -1.5348e+02
30190.3168, -1.9980e+01, -1.5251e+02
29533.0285, -1.9547e+01, -1.5139e+02
28890.0504, -1.9103e+01, -1.5054e+02
28261.0709, -1.8705e+01, -1.5003e+02
27645.7852, -1.8287e+01, -1.4874e+02
27043.8952, -1.7911e+01, -1.4813e+02
26455.1092, -1.7460e+01, -1.4730e+02
25879.142, -1.7125e+01, -1.4639e+02
25315.7145, -1.6734e+01, -1.4529e+02
24764.5536, -1.6323e+01, -1.4432e+02
24225.3923, -1.5937e+01, -1.4336e+02
23697.9693, -1.5506e+01, -1.4219e+02
23182.0292, -1.5127e+01, -1.4117e+02
22677.3218, -1.4762e+01, -1.4036e+02
22183.6027, -1.4400e+01, -1.3904e+02
21700.6325, -1.4016e+01, -1.3799e+02
21228.1774, -1.3662e+01, -1.3688e+02
20766.0083, -1.3259e+01, -1.3608e+02
20313.9013, -1.2893e+01, -1.3468e+02
19871.6373, -1.2545e+01, -1.3334e+02
19439.0021, -1.2169e+01, -1.3219e+02
19015.786, -1.1839e+01, -1.3107e+02
18601.784, -1.1437e+01, -1.2986e+02
18196.7954, -1.1071e+01, -1.2868e+02
17800.624, -1.0741e+01, -1.2745e+02
17413.0779, -1.0417e+01, -1.2609e+02
17033.9692, -1.0073e+01, -1.2471e+02
16663.1142, -9.7468e+00, -1.2353e+02
16300.3334, -9.4264e+00, -1.2204e+02
15945.4508, -9.0732e+00, -1.2065e+02
15598.2945, -8.7714e+00, -1.1910e+02
15258.6964, -8.4671e+00, -1.1780e+02
14926.4918, -8.1860e+00, -1.1628e+02
14601.5198, -7.8696e+00, -1.1493e+02
14283.6229, -7.5831e+00, -1.1337e+02
13972.6471, -7.3238e+00, -1.1184e+02
13668.4417, -7.0291e+00, -1.1027e+02
13370.8594, -6.7746e+00, -1.0877e+02
13079.7558, -6.4933e+00, -1.0722e+02
12794.99, -6.2354e+00, -1.0562e+02
12516.424, -5.9752e+00, -1.0406e+02
12243.9227, -5.7167e+00, -1.0247e+02
11977.3543, -5.4877e+00, -1.0080e+02
11716.5894, -5.2406e+00, -9.9300e+01
11461.5017, -5.0108e+00, -9.7562e+01
11211.9677, -4.7822e+00, -9.5953e+01
10967.8665, -4.5753e+00, -9.4249e+01
10729.0797, -4.3540e+00, -9.2675e+01
10495.4916, -4.1591e+00, -9.1019e+01
10266.9891, -3.9686e+00, -8.9316e+01
10043.4614, -3.7774e+00, -8.7738e+01
9824.80024, -3.6022e+00, -8.6129e+01
9610.89968, -3.4348e+00, -8.4593e+01
9401.65605, -3.2642e+00, -8.2895e+01
9196.96797, -3.1113e+00, -8.1319e+01
8996.73625, -2.9571e+00, -7.9739e+01
8800.86387, -2.8173e+00, -7.8054e+01
8609.25593, -2.6772e+00, -7.6643e+01
8421.81958, -2.5223e+00, -7.4983e+01
8238.464, -2.4134e+00, -7.3527e+01
8059.10034, -2.2796e+00, -7.2010e+01
7883.6417, -2.1525e+00, -7.0453e+01
7712.00306, -2.0418e+00, -6.9055e+01
7544.10124, -1.9130e+00, -6.7535e+01
7379.8549, -1.8364e+00, -6.6065e+01
7219.18444, -1.7280e+00, -6.4676e+01
7062.01202, -1.6283e+00, -6.3272e+01
6908.26148, -1.5630e+00, -6.1928e+01
6757.85832, -1.4734e+00, -6.0617e+01
6610.72966, -1.3968e+00, -5.9241e+01
6466.80421, -1.3058e+00, -5.7958e+01
6326.01223, -1.2514e+00, -5.6724e+01
6188.2855, -1.1781e+00, -5.5451e+01
6053.55729, -1.1257e+00, -5.4152e+01
5921.76231, -1.0588e+00, -5.3034e+01
5792.83671, -9.9742e-01, -5.1883e+01
5666.71801, -9.5145e-01, -5.0686e+01
5543.3451, -9.0327e-01, -4.9504e+01
5422.6582, -8.4033e-01, -4.8398e+01
5304.59884, -8.1325e-01, -4.7297e+01
5189.10981, -7.6306e-01, -4.6241e+01
5076.13514, -7.1767e-01, -4.5187e+01
4965.62011, -6.7387e-01, -4.4132e+01
4857.51114, -6.5231e-01, -4.3277e+01
4751.75588, -6.1054e-01, -4.2326e+01
4648.30306, -6.0019e-01, -4.1289e+01
4547.10257, -5.6496e-01, -4.0397e+01
4448.10536, -5.2767e-01, -3.9464e+01
4351.26346, -5.1172e-01, -3.8571e+01
4256.52996, -4.8285e-01, -3.7693e+01
4163.85895, -4.4945e-01, -3.6885e+01
4073.20553, -4.3867e-01, -3.6061e+01
3984.52577, -4.3152e-01, -3.5184e+01
3897.77669, -4.0964e-01, -3.4425e+01
3812.91628, -3.8588e-01, -3.3727e+01
3729.9034, -3.8805e-01, -3.2967e+01
3648.69784, -3.4452e-01, -3.2204e+01
3569.26024, -3.3728e-01, -3.1513e+01
3491.55212, -3.1366e-01, -3.0731e+01
3415.53582, -2.8333e-01, -3.0056e+01
3341.1745, -2.9454e-01, -2.9457e+01
3268.43215, -2.8941e-01, -2.8686e+01
3197.2735, -2.3938e-01, -2.8105e+01
3127.66409, -2.5582e-01, -2.7535e+01
3059.57017, -2.3991e-01, -2.6808e+01
2992.95876, -2.2379e-01, -2.6311e+01
2927.79758, -2.2661e-01, -2.5624e+01
2864.05506, -2.1594e-01, -2.5166e+01
2801.70031, -1.8851e-01, -2.4567e+01
2740.70311, -1.7934e-01, -2.3903e+01
2681.03391, -1.5573e-01, -2.3524e+01
2622.6638, -1.7646e-01, -2.2839e+01
2565.5645, -1.7348e-01, -2.2507e+01
2509.70833, -1.6664e-01, -2.1923e+01
2455.06824, -1.8788e-01, -2.1441e+01
2401.61774, -1.3655e-01, -2.1029e+01
2349.33093, -1.6321e-01, -2.0524e+01
2298.18249, -9.2080e-02, -2.0071e+01
2248.14763, -1.3787e-01, -1.9604e+01
2199.2021, -9.9940e-02, -1.9281e+01
2151.32219, -1.3189e-01, -1.8736e+01
2104.48469, -1.2556e-01, -1.8452e+01
2058.66692, -1.3883e-01, -1.7824e+01
2013.84667, -1.2575e-01, -1.7504e+01
1970.00222, -1.4796e-01, -1.7158e+01
1927.11233, -1.3994e-01, -1.6727e+01
1885.15622, -7.8085e-02, -1.6614e+01
1844.11356, -8.7114e-02, -1.6112e+01
1803.96445, -1.3091e-01, -1.5713e+01
1764.68946, -1.1917e-01, -1.5352e+01
1726.26953, -8.0923e-02, -1.4964e+01
1688.68607, -1.2469e-01, -1.4706e+01
1651.92085, -1.3460e-01, -1.4435e+01
1615.95607, -7.2748e-02, -1.4099e+01
1580.77429, -7.1265e-02, -1.3693e+01
1546.35848, -7.6365e-02, -1.3278e+01
1512.69195, -1.0958e-01, -1.3148e+01
1479.75839, -7.0665e-02, -1.2896e+01
1447.54184, -9.1078e-02, -1.2586e+01
1416.02669, -1.1982e-01, -1.2096e+01
1385.19768, -4.8661e-02, -1.1954e+01
1355.03986, -5.2901e-02, -1.1754e+01
1325.53862, -2.9969e-02, -1.1586e+01
1296.67966, -2.7521e-02, -1.1361e+01
1268.44901, -7.3415e-02, -1.1170e+01
1240.83298, -2.5290e-02, -1.0665e+01
1213.8182, -5.0385e-02, -1.0549e+01
1187.39156, -2.5656e-02, -1.0297e+01
1161.54028, -4.6811e-02, -1.0176e+01
1136.25181, -4.4493e-02, -9.8890e+00
1111.51391, -8.2791e-02, -9.6112e+00
1087.3146, -3.9960e-02, -9.4781e+00
1063.64214, -1.1012e-01, -9.1799e+00
1040.48506, -7.1785e-02, -9.0532e+00
1017.83215, -6.7092e-02, -8.7744e+00
995.672421, -9.4158e-02, -8.5433e+00
973.995147, 2.2667e-02, -8.4029e+00
952.789819, -3.6383e-02, -8.4344e+00
932.046162, 7.9518e-04, -8.1110e+00
911.754126, -6.0937e-02, -7.6499e+00
891.903878, -2.2399e-02, -7.5090e+00
872.4858, -2.6097e-03, -7.5235e+00
853.490482, 9.7364e-03, -7.4679e+00
834.90872, -7.1976e-02, -7.1831e+00
816.731511, -1.0949e-01, -6.9045e+00
798.950047, 2.4188e-02, -7.0459e+00
781.555712, -5.2926e-02, -6.7557e+00
764.540078, -6.3591e-02, -6.4336e+00
747.8949, -2.7667e-02, -6.3745e+00
731.612111, -7.5129e-02, -6.3861e+00
715.683824, -3.4044e-02, -6.1249e+00
700.102319, 3.5497e-02, -6.3972e+00
684.860047, 2.8894e-03, -5.9071e+00
669.949621, -4.9487e-02, -5.9347e+00
655.363818, -6.4711e-02, -5.3118e+00
641.09557, -1.2630e-02, -5.7392e+00
627.137962, 1.2510e-02, -5.7351e+00
613.484233, -1.2389e-02, -5.4356e+00
600.127766, -1.4647e-02, -5.4554e+00
587.062089, -1.2384e-01, -5.1318e+00
574.280871, -1.4117e-02, -5.2552e+00
561.777919, -6.5963e-02, -4.9385e+00
549.547175, 4.5362e-03, -4.8229e+00
537.582713, -9.2565e-02, -4.6582e+00
525.878735, -1.1934e-01, -4.3646e+00
514.42957, -8.9813e-03, -4.6545e+00
503.229671, 3.5646e-02, -4.5612e+00
492.27361, 9.8712e-02, -4.5001e+00
481.556079, -6.4928e-02, -4.2982e+00
471.071884, 7.3313e-02, -4.2710e+00
460.815946, -6.9297e-02, -4.0694e+00
450.783295, 8.2451e-02, -4.2683e+00
440.96907, -6.9244e-02, -3.8237e+00
431.368515, -1.0776e-01, -3.3540e+00
421.976979, -1.4181e-01, -3.6518e+00
412.78991, -7.4248e-02, -3.3599e+00
403.802858, 2.9032e-02, -3.5060e+00
395.011467, -5.6670e-02, -3.1993e+00
386.411478, 1.5435e-02, -3.4559e+00
377.998723, -1.5193e-01, -2.7394e+00
369.769127, -1.3422e-01, -2.6374e+00
361.718701, -1.4270e-02, -3.1385e+00
353.843545, -1.2702e-01, -2.8597e+00
346.139843, 4.6820e-02, -3.5526e+00
338.603862, -8.4503e-02, -2.5341e+00
331.231951, -1.1268e-01, -2.5146e+00
324.020537, -5.8293e-02, -2.5970e+00
316.966126, -9.9792e-02, -2.2552e+00
310.065301, -2.9751e-02, -2.4938e+00
303.314716, -7.1736e-02, -2.5062e+00
296.711102, -4.1163e-03, -2.7096e+00
290.251259, 1.2263e-02, -2.5736e+00
283.932056, 4.1283e-02, -2.7772e+00
277.750431, 1.4826e-02, -2.1795e+00
271.70339, 8.4692e-02, -2.2935e+00
265.788001, -6.1601e-03, -2.1919e+00
260.0014, 3.5490e-02, -2.1763e+00
254.340781, 5.1629e-02, -2.6746e+00
248.803403, 3.5340e-02, -2.1766e+00
243.386582, 8.2833e-02, -2.1197e+00
238.087692, 2.4660e-02, -2.4432e+00
232.904168, -1.5690e-01, -1.9065e+00
227.833497, 4.0152e-02, -1.9272e+00
222.873221, 3.7433e-02, -1.7727e+00
218.020939, -5.9598e-02, -2.0113e+00
213.274298, -2.5120e-02, -2.0309e+00
208.630998, -9.1058e-02, -1.3739e+00
204.08879, -7.0829e-02, -1.5125e+00
199.645472, 8.8259e-02, -2.2306e+00
195.298892, -1.6417e-01, -1.5092e+00
191.046944, -2.8534e-02, -1.8416e+00
186.887567, -8.9405e-02, -1.7264e+00
182.818746, -1.3076e-01, -1.4005e+00
178.838509, -1.0087e-01, -1.2719e+00
174.944927, -8.3220e-02, -1.6152e+00
171.136115, -1.7157e-01, -1.1538e+00
167.410227, -1.2506e-02, -1.3246e+00
163.765456, -6.4267e-02, -1.4106e+00
160.200038, -6.1301e-02, -1.0962e+00
156.712244, 1.2504e-01, -1.7513e+00
153.300384, -5.6333e-02, -1.2173e+00
149.962806, -1.2364e-01, -9.7178e-01
146.697892, -6.8855e-02, -1.2279e+00
143.50406, -1.0009e-01, -1.1363e+00
140.379762, 1.0851e-02, -1.4262e+00
137.323486, -1.8690e-02, -1.0875e+00
134.333748, 3.3335e-02, -1.0696e+00
131.409102, -6.3123e-02, -1.1544e+00
128.54813, 4.7024e-02, -1.5231e+00
125.749445, 5.3405e-02, -9.4121e-01
123.011692, 6.4783e-02, -1.0608e+00
120.333544, -7.8298e-02, -1.0741e+00
117.713703, 2.6635e-03, -1.0900e+00
115.1509, -1.3066e-01, -6.8428e-01
112.643893, 2.0670e-02, -1.3204e+00
110.191468, -5.4032e-02, -9.4182e-01
107.792435, -2.2343e-02, -7.6450e-01
105.445633, 2.4016e-02, -1.2497e+00
103.149924, -1.8225e-02, -8.1557e-01
100.904196, -1.3916e-01, -9.7750e-01
98.7073611, -2.2714e-02, -8.0930e-01
96.5583546, -8.1181e-02, -6.1124e-01
94.4561351, -6.5875e-02, -8.5330e-01
92.3996841, 7.3294e-03, -7.9132e-01
90.388005, -3.5838e-02, -9.3124e-01
88.4201233, 2.7147e-02, -1.1070e+00
86.4950852, 3.0681e-02, -1.0437e+00
84.6119581, -2.9139e-02, -7.0892e-01
82.7698295, 7.4893e-03, -4.2139e-01
80.9678068, -1.1291e-01, -5.8065e-01
79.2050168, -8.3225e-02, -3.3611e-01
77.4806054, 7.7945e-02, -7.5760e-01
75.793737, -5.5553e-03, -7.3431e-01
74.1435942, -6.9662e-02, -6.0607e-01
72.5293775, 6.4362e-02, -4.5585e-01
70.9503047, 1.8073e-02, -5.6462e-01
69.4056107, -4.5832e-02, -4.7651e-01
67.894547, -1.1811e-01, -1.9414e-01
66.4163813, -9.6032e-02, -2.2279e-01
64.9703976, -1.1234e-01, -2.7700e-01
63.5558951, -9.4721e-02, -2.8486e-01
62.1721884, -2.4820e-02, -3.7562e-01
60.8186071, 2.6734e-02, -5.2525e-01
59.4944952, 2.2999e-02, -8.5299e-01
58.1992113, -5.0447e-02, -6.4138e-01
56.9321276, -1.4013e-01, -1.6890e-01
55.6926302, 6.7945e-02, -6.0496e-01
54.4801185, -1.4733e-01, -1.6013e-01
53.294005, -6.6584e-02, -7.8677e-01
52.133715, 1.0252e-02, -3.8460e-01
50.9986862, 3.4037e-02, -9.5655e-01
49.8883687, 8.2195e-02, -4.3586e-01
48.8022245, 5.6294e-02, -6.3561e-01
47.7397272, -1.4566e-02, -3.1452e-01
46.7003621, -7.2385e-02, -3.4611e-01
45.6836255, 1.1291e-02, -5.6559e-01
44.6890248, -7.2616e-02, -5.4074e-01
43.716078, -1.5902e-01, 5.7882e-02
42.7643138, -4.1069e-02, -1.2698e-01
41.8332708, -1.4789e-01, 7.4229e-02
40.9224981, -8.2054e-02, -5.1402e-01
40.0315542, -5.7847e-02, -4.4957e-01
39.1600076, -1.2857e-01, -3.1429e-01
38.3074358, -6.6631e-02, -3.5507e-01
37.4734257, 1.5729e-02, -4.5353e-01
36.6575733, 8.2467e-02, -5.2603e-01
35.8594832, 2.3401e-02, -6.5378e-01
35.0787688, -1.9474e-02, -2.8886e-01
34.3150516, 1.0971e-02, -6.6941e-01
33.5679617, -5.7680e-02, 8.5077e-02
32.8371371, -6.2828e-02, -3.3061e-01
32.1222236, 5.3628e-02, -3.7361e-01
31.4228749, -1.6339e-01, -1.4805e-01
30.738752, 4.5231e-02, -3.8366e-01
30.0695235, 3.1162e-02, -3.5566e-01
29.4148651, -6.0897e-02, -2.1470e-01
28.7744596, 4.9524e-02, -3.8053e-01
28.1479966, 6.5924e-03, -4.6013e-01
27.5351727, -7.7755e-02, -1.8386e-01
26.9356909, 1.2653e-03, -2.1892e-01
26.3492607, -1.2676e-02, -1.9045e-01
25.775598, -1.2297e-01, -1.0109e-01
25.2144248, -7.9278e-02, 4.3966e-03
24.6654691, -2.0634e-03, -3.2875e-01
24.128465, -1.1221e-01, -2.1745e-02
23.6031523, -3.7802e-03, -2.9109e-01
23.0892765, -9.0605e-02, 2.2321e-01
22.5865885, -8.0967e-02, 6.9578e-02
22.0948447, -1.6826e-01, 2.2513e-01
21.613807, -1.7215e-02, -2.6263e-01
21.1432422, 3.2700e-02, -6.2388e-01
20.6829222, 1.4927e-02, -3.6258e-02
20.2326241, -1.8932e-01, -1.3220e-01
19.7921297, -1.1400e-01, 9.0273e-02
19.3612255, 2.6611e-03, -1.1504e-01
18.9397027, -2.8736e-02, -2.0419e-01
18.5273571, -5.1268e-02, -1.3080e-01
18.1239889, -2.1201e-03, -6.1792e-02
17.7294026, 5.3956e-02, -6.7728e-01
17.3434071, -4.9891e-02, -4.3256e-01
16.9658152, -2.5997e-02, -2.6610e-01
16.5964441, 1.9576e-02, -2.6594e-01
16.2351148, -1.4653e-01, 1.5212e-02
15.8816521, -6.5192e-04, -2.6047e-01
15.5358848, 4.6764e-02, -5.0482e-01
15.1976454, 8.9567e-02, -8.3132e-02
