
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
5.78630306e+05, 3.5261e+00, -9.1758e+00
5.61371684e+05, 3.4679e+00, -8.8322e+00
5.44627829e+05, 3.4129e+00, -8.5019e+00
5.28383388e+05, 3.3620e+00, -8.2132e+00
5.12623465e+05, 3.3248e+00, -7.9159e+00
4.97333607e+05, 3.2856e+00, -7.5767e+00
4.82499796e+05, 3.2445e+00, -7.2654e+00
4.68108428e+05, 3.2024e+00, -6.9865e+00
4.54146307e+05, 3.1644e+00, -6.7284e+00
4.40600629e+05, 3.1290e+00, -6.4836e+00
4.27458974e+05, 3.0950e+00, -6.2450e+00
4.14709291e+05, 3.0627e+00, -6.0166e+00
4.02339889e+05, 3.0346e+00, -5.8209e+00
3.90339425e+05, 3.0076e+00, -5.6090e+00
3.78696895e+05, 2.9820e+00, -5.4081e+00
3.67401624e+05, 2.9568e+00, -5.2202e+00
3.56443252e+05, 2.9334e+00, -5.0428e+00
3.45811733e+05, 2.9116e+00, -4.8675e+00
3.35497316e+05, 2.8925e+00, -4.7067e+00
3.25490544e+05, 2.8736e+00, -4.5424e+00
3.15782241e+05, 2.8550e+00, -4.3878e+00
3.06363505e+05, 2.8376e+00, -4.2381e+00
2.97225698e+05, 2.8221e+00, -4.0925e+00
2.88360441e+05, 2.8069e+00, -3.9637e+00
2.79759606e+05, 2.7919e+00, -3.8239e+00
2.71415305e+05, 2.7772e+00, -3.6887e+00
2.63319887e+05, 2.7657e+00, -3.5728e+00
2.55465929e+05, 2.7553e+00, -3.4452e+00
2.47846228e+05, 2.7443e+00, -3.3326e+00
2.40453797e+05, 2.7326e+00, -3.2246e+00
2.33281858e+05, 2.7245e+00, -3.1009e+00
2.26323834e+05, 2.7138e+00, -3.0013e+00
2.19573345e+05, 2.7042e+00, -2.9073e+00
2.13024201e+05, 2.6959e+00, -2.8133e+00
2.06670396e+05, 2.6904e+00, -2.7102e+00
2.00506104e+05, 2.6817e+00, -2.6227e+00
1.94525672e+05, 2.6741e+00, -2.5347e+00
1.88723616e+05, 2.6677e+00, -2.4389e+00
