
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.12868920e+06, -3.8346e+01, 6.3081e+00
2.08601078e+06, -3.8369e+01, 5.6763e+00
2.04418802e+06, -3.8316e+01, 5.2130e+00
2.00320377e+06, -3.8422e+01, 5.8752e+00
1.96304122e+06, -3.8512e+01, 4.4694e+00
1.92368389e+06, -3.8438e+01, 3.8876e+00
1.88511565e+06, -3.8499e+01, 3.3374e+00
1.84732067e+06, -3.8391e+01, 2.9950e+00
1.81028344e+06, -3.8418e+01, 2.5334e+00
1.77398878e+06, -3.8609e+01, 1.7389e+00
1.73842180e+06, -3.8485e+01, 9.8828e-01
1.70356791e+06, -3.8554e+01, 1.1053e+00
1.66941280e+06, -3.8603e+01, 3.8760e-02
1.63594248e+06, -3.8702e+01, -1.1770e+00
1.60314321e+06, -3.8737e+01, -1.6612e+00
1.57100154e+06, -3.8841e+01, -2.8606e+00
1.53950428e+06, -3.8765e+01, -3.7170e+00
1.50863851e+06, -3.8817e+01, -4.8982e+00
1.47839158e+06, -3.8802e+01, -5.7992e+00
1.44875107e+06, -3.8820e+01, -8.0093e+00
1.41970483e+06, -3.9039e+01, -9.2253e+00
1.39124095e+06, -3.9027e+01, -1.0601e+01
1.36334774e+06, -3.9144e+01, -1.3603e+01
1.33601376e+06, -3.8966e+01, -1.7123e+01
1.30922781e+06, -3.8807e+01, -2.0457e+01
1.28297889e+06, -3.8557e+01, -2.3923e+01
1.25725625e+06, -3.7816e+01, -2.8130e+01
1.23204932e+06, -3.7124e+01, -2.9611e+01
1.20734777e+06, -3.6115e+01, -3.1068e+01
1.18314146e+06, -3.5178e+01, -2.9965e+01
1.15942047e+06, -3.4421e+01, -2.6693e+01
1.13617506e+06, -3.3902e+01, -2.4200e+01
1.11339571e+06, -3.3590e+01, -2.0058e+01
1.09107306e+06, -3.3387e+01, -1.6696e+01
1.06919797e+06, -3.3312e+01, -1.3830e+01
1.04776145e+06, -3.3439e+01, -1.0726e+01
1.02675471e+06, -3.3520e+01, -9.2154e+00
1.00616914e+06, -3.3666e+01, -7.3222e+00
9.85996299e+05, -3.3833e+01, -5.7716e+00
9.66227903e+05, -3.3889e+01, -4.9058e+00
9.46855846e+05, -3.4052e+01, -4.6223e+00
9.27872183e+05, -3.4086e+01, -4.1783e+00
9.09269127e+05, -3.4205e+01, -3.5602e+00
8.91039046e+05, -3.4302e+01, -3.4569e+00
8.73174463e+05, -3.4404e+01, -2.1899e+00
8.55668050e+05, -3.4422e+01, -2.2522e+00
8.38512625e+05, -3.4569e+01, -2.0118e+00
8.21701153e+05, -3.4563e+01, -2.4239e+00
8.05226736e+05, -3.4664e+01, -1.9080e+00
7.89082618e+05, -3.4633e+01, -1.8274e+00
7.73262175e+05, -3.4726e+01, -1.2889e+00
7.57758919e+05, -3.4760e+01, -1.8260e+00
7.42566491e+05, -3.4949e+01, -2.1743e+00
7.27678657e+05, -3.4897e+01, -2.4394e+00
7.13089313e+05, -3.4909e+01, -2.9664e+00
6.98792472e+05, -3.4892e+01, -2.5736e+00
6.84782271e+05, -3.4937e+01, -2.8154e+00
6.71052963e+05, -3.4703e+01, -2.9865e+00
6.57598916e+05, -3.4646e+01, -2.8051e+00
6.44414611e+05, -3.4710e+01, -1.6594e+00
6.31494640e+05, -3.4739e+01, -1.4392e+00
6.18833704e+05, -3.4748e+01, -1.5239e+00
6.06426609e+05, -3.4617e+01, -1.1393e+00
5.94268266e+05, -3.4739e+01, -1.1871e+00
5.82353687e+05, -3.4719e+01, -7.8302e-01
5.70677986e+05, -3.4707e+01, -1.5058e+00
5.59236372e+05, -3.4765e+01, -1.3237e+00
5.48024154e+05, -3.4773e+01, -1.1416e+00
5.37036731e+05, -3.4706e+01, -1.6044e+00
5.26269596e+05, -3.4639e+01, -5.7800e-01
5.15718334e+05, -3.4283e+01, 1.7575e+01
5.05378615e+05, -3.4524e+01, 1.4021e+00
4.95246199e+05, -3.4665e+01, 1.8426e+00
4.85316929e+05, -3.4746e+01, 2.1954e+00
4.75586733e+05, -3.4986e+01, 2.5730e+00
4.66051620e+05, -3.4994e+01, 1.8506e+00
4.56707677e+05, -3.5109e+01, 2.4630e+00
4.47551072e+05, -3.5255e+01, 1.8548e+00
4.38578050e+05, -3.5224e+01, 1.4953e+00
4.29784929e+05, -3.5135e+01, 1.1978e+00
4.21168103e+05, -3.5283e+01, 1.2500e+00
4.12724037e+05, -3.5338e+01, 1.4754e+00
4.04449267e+05, -3.5332e+01, 1.0558e+00
3.96340400e+05, -3.5368e+01, 1.2258e+00
3.88394108e+05, -3.5413e+01, 4.9683e-01
3.80607133e+05, -3.5442e+01, -1.2830e-02
3.72976281e+05, -3.5455e+01, 8.8724e-01
3.65498420e+05, -3.5573e+01, -3.2242e-01
3.58170484e+05, -3.5463e+01, -5.5549e-01
3.50989467e+05, -3.5419e+01, -7.1467e-01
3.43952424e+05, -3.5489e+01, -8.5606e-01
3.37056467e+05, -3.5402e+01, -5.4917e-01
3.30298769e+05, -3.5354e+01, -1.3019e-01
3.23676556e+05, -3.5435e+01, 7.6449e-01
3.17187114e+05, -3.5382e+01, 5.9981e-01
3.10827779e+05, -3.5423e+01, -6.7631e-02
3.04595944e+05, -3.5477e+01, -2.6834e-01
2.98489051e+05, -3.5542e+01, 4.0128e-01
2.92504597e+05, -3.5607e+01, 8.9719e-01
2.86640126e+05, -3.5631e+01, 9.3912e-01
2.80893233e+05, -3.5685e+01, -8.7964e-02
2.75261560e+05, -3.5634e+01, 7.9241e-01
2.69742797e+05, -3.5700e+01, -1.7540e-01
2.64334681e+05, -3.5664e+01, 3.6709e-01
2.59034993e+05, -3.5748e+01, -9.0682e-03
2.53841560e+05, -3.5621e+01, 5.4535e-01
2.48752250e+05, -3.5816e+01, 3.2451e-01
2.43764977e+05, -3.5749e+01, 6.3496e-01
2.38877694e+05, -3.5913e+01, 9.7907e-01
2.34088397e+05, -3.5864e+01, 6.5471e-01
2.29395122e+05, -3.6000e+01, -2.0108e-01
2.24795943e+05, -3.6104e+01, -4.5817e-01
2.20288973e+05, -3.6119e+01, 6.6363e-01
2.15872365e+05, -3.6145e+01, 2.1372e-01
2.11544305e+05, -3.6242e+01, 2.3632e-01
2.07303020e+05, -3.6093e+01, 6.1045e-01
2.03146769e+05, -3.6322e+01, 1.7930e-01
1.99073847e+05, -3.6325e+01, 3.3180e-02
1.95082584e+05, -3.6338e+01, 8.0841e-01
1.91171342e+05, -3.6407e+01, -4.8268e-01
1.87338518e+05, -3.6439e+01, 1.1000e+00
1.83582538e+05, -3.6682e+01, -2.6974e-01
1.79901863e+05, -3.6852e+01, 1.2628e+00
1.76294982e+05, -3.6591e+01, 7.0074e-01
1.72760416e+05, -3.6942e+01, 1.2187e+00
1.69296715e+05, -3.7134e+01, 1.6783e+00
1.65902458e+05, -3.7254e+01, 9.3980e-01
1.62576254e+05, -3.7221e+01, 1.5827e+00
1.59316736e+05, -3.7008e+01, 2.7869e+00
1.56122570e+05, -3.7448e+01, 1.6199e+00
1.52992444e+05, -3.7808e+01, 2.4931e+00
1.49925074e+05, -3.7805e+01, 2.4966e+00
1.46919203e+05, -3.7855e+01, 1.8090e+00
1.43973596e+05, -3.8379e+01, 8.2314e-01
1.41087047e+05, -3.8330e+01, 2.6217e+00
1.38258370e+05, -3.8731e+01, -4.0089e-01
1.35486406e+05, -3.8801e+01, 1.0721e+00
1.32770018e+05, -3.9209e+01, -1.7825e-01
1.30108091e+05, -3.9373e+01, -2.1132e+00
1.27499533e+05, -3.9311e+01, 9.0564e-01
1.24943275e+05, -3.9430e+01, -1.9556e+00
1.22438267e+05, -3.9943e+01, -5.0385e+00
1.19983483e+05, -4.0117e+01, -1.5844e+00
1.17577915e+05, -3.9761e+01, -4.5060e-01
1.15220577e+05, -4.0448e+01, -1.0099e+00
1.12910501e+05, -4.0942e+01, -2.8929e-01
1.10646741e+05, -4.0883e+01, -3.2261e+00
1.08428367e+05, -4.1021e+01, -2.9035e+00
1.06254469e+05, -4.1300e+01, -5.5564e-01
1.04124156e+05, -4.2045e+01, -2.1948e+00
1.02036555e+05, -4.2668e+01, -2.0098e+00
9.99908076e+04, -4.2561e+01, -3.2276e+00
9.79860760e+04, -4.3512e+01, -3.6313e+00
9.60215376e+04, -4.4072e+01, -6.1847e+00
9.40963866e+04, -4.5210e+01, -3.3465e+00
9.22098333e+04, -4.5380e+01, -3.3491e+00
9.03611037e+04, -4.6006e+01, -4.2284e+00
8.85494396e+04, -4.7171e+01, -4.6554e+00
8.67740979e+04, -4.8400e+01, -7.1981e+00
8.50343502e+04, -5.0071e+01, -1.1710e+01
8.33294831e+04, -5.0356e+01, -1.0986e+01
8.16587970e+04, -5.2243e+01, -6.6564e+00
8.00216069e+04, -5.4000e+01, -2.0928e+01
7.84172410e+04, -5.9025e+01, -3.6477e+01
7.68450413e+04, -6.5159e+01, -4.6067e+01
7.53043629e+04, -6.7193e+01, 1.6237e+02
7.37945738e+04, -5.9723e+01, -1.6253e+02
