
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
4.22003130e+05, 1.2079e+01, -6.7448e+01
4.08313113e+05, 1.2294e+01, -6.6290e+01
3.95067207e+05, 1.2507e+01, -6.5141e+01
3.82251007e+05, 1.2713e+01, -6.3973e+01
3.69850571e+05, 1.2914e+01, -6.2819e+01
3.57852412e+05, 1.3109e+01, -6.1653e+01
3.46243480e+05, 1.3302e+01, -6.0487e+01
3.35011148e+05, 1.3487e+01, -5.9323e+01
3.24143200e+05, 1.3666e+01, -5.8153e+01
3.13627813e+05, 1.3841e+01, -5.7006e+01
3.03453552e+05, 1.4010e+01, -5.5841e+01
2.93609349e+05, 1.4175e+01, -5.4688e+01
2.84084498e+05, 1.4336e+01, -5.3541e+01
2.74868639e+05, 1.4490e+01, -5.2400e+01
2.65951747e+05, 1.4640e+01, -5.1251e+01
2.57324123e+05, 1.4786e+01, -5.0122e+01
2.48976385e+05, 1.4925e+01, -4.8996e+01
2.40899452e+05, 1.5060e+01, -4.7886e+01
2.33084540e+05, 1.5190e+01, -4.6773e+01
2.25523147e+05, 1.5317e+01, -4.5673e+01
2.18207050e+05, 1.5437e+01, -4.4589e+01
2.11128292e+05, 1.5552e+01, -4.3522e+01
2.04279172e+05, 1.5664e+01, -4.2453e+01
1.97652242e+05, 1.5771e+01, -4.1407e+01
1.91240293e+05, 1.5874e+01, -4.0358e+01
1.85036351e+05, 1.5973e+01, -3.9337e+01
1.79033669e+05, 1.6067e+01, -3.8327e+01
1.73225716e+05, 1.6157e+01, -3.7328e+01
1.67606178e+05, 1.6242e+01, -3.6346e+01
1.62168940e+05, 1.6324e+01, -3.5388e+01
1.56908089e+05, 1.6402e+01, -3.4446e+01
1.51817903e+05, 1.6478e+01, -3.3507e+01
1.46892845e+05, 1.6549e+01, -3.2589e+01
1.42127559e+05, 1.6617e+01, -3.1692e+01
1.37516862e+05, 1.6682e+01, -3.0813e+01
1.33055738e+05, 1.6744e+01, -2.9945e+01
1.28739336e+05, 1.6802e+01, -2.9097e+01
1.24562960e+05, 1.6857e+01, -2.8273e+01
1.20522068e+05, 1.6912e+01, -2.7457e+01
1.16612265e+05, 1.6962e+01, -2.6663e+01
1.12829298e+05, 1.7010e+01, -2.5887e+01
1.09169053e+05, 1.7055e+01, -2.5131e+01
1.05627548e+05, 1.7097e+01, -2.4393e+01
1.02200931e+05, 1.7138e+01, -2.3667e+01
9.88854757e+04, 1.7177e+01, -2.2956e+01
9.56775757e+04, 1.7213e+01, -2.2269e+01
9.25737418e+04, 1.7247e+01, -2.1602e+01
8.95705979e+04, 1.7278e+01, -2.0943e+01
8.66648777e+04, 1.7309e+01, -2.0304e+01
8.38534207e+04, 1.7339e+01, -1.9681e+01
8.11331690e+04, 1.7366e+01, -1.9079e+01
7.85011637e+04, 1.7391e+01, -1.8492e+01
7.59545421e+04, 1.7415e+01, -1.7921e+01
7.34905344e+04, 1.7438e+01, -1.7354e+01
7.11064604e+04, 1.7460e+01, -1.6812e+01
6.87997272e+04, 1.7478e+01, -1.6291e+01
6.65678256e+04, 1.7498e+01, -1.5774e+01
6.44083282e+04, 1.7515e+01, -1.5275e+01
6.23188861e+04, 1.7532e+01, -1.4796e+01
6.02972267e+04, 1.7548e+01, -1.4327e+01
5.83411510e+04, 1.7562e+01, -1.3862e+01
5.64485315e+04, 1.7576e+01, -1.3420e+01
5.46173096e+04, 1.7590e+01, -1.2987e+01
5.28454936e+04, 1.7603e+01, -1.2564e+01
5.11311563e+04, 1.7613e+01, -1.2158e+01
4.94724331e+04, 1.7624e+01, -1.1765e+01
4.78675197e+04, 1.7634e+01, -1.1386e+01
4.63146707e+04, 1.7644e+01, -1.1014e+01
4.48121969e+04, 1.7651e+01, -1.0644e+01
4.33584642e+04, 1.7659e+01, -1.0294e+01
4.19518915e+04, 1.7668e+01, -9.9520e+00
4.05909487e+04, 1.7674e+01, -9.6341e+00
3.92741557e+04, 1.7680e+01, -9.3077e+00
3.80000801e+04, 1.7686e+01, -8.9985e+00
3.67673363e+04, 1.7691e+01, -8.6965e+00
3.55745834e+04, 1.7696e+01, -8.4080e+00
3.44205241e+04, 1.7701e+01, -8.1225e+00
3.33039031e+04, 1.7707e+01, -7.8532e+00
3.22235059e+04, 1.7709e+01, -7.5756e+00
3.11781574e+04, 1.7713e+01, -7.3256e+00
3.01667205e+04, 1.7716e+01, -7.0767e+00
2.91880953e+04, 1.7718e+01, -6.8318e+00
2.82412172e+04, 1.7721e+01, -6.6005e+00
2.73250563e+04, 1.7723e+01, -6.3714e+00
2.64386163e+04, 1.7725e+01, -6.1559e+00
2.55809328e+04, 1.7727e+01, -5.9330e+00
2.47510731e+04, 1.7728e+01, -5.7335e+00
2.39481344e+04, 1.7731e+01, -5.5370e+00
2.31712436e+04, 1.7731e+01, -5.3434e+00
2.24195555e+04, 1.7731e+01, -5.1419e+00
2.16922526e+04, 1.7733e+01, -4.9682e+00
2.09885438e+04, 1.7732e+01, -4.8038e+00
2.03076638e+04, 1.7733e+01, -4.6270e+00
1.96488718e+04, 1.7735e+01, -4.4659e+00
1.90114515e+04, 1.7733e+01, -4.3129e+00
1.83947094e+04, 1.7733e+01, -4.1452e+00
1.77979747e+04, 1.7732e+01, -4.0115e+00
1.72205985e+04, 1.7731e+01, -3.8654e+00
1.66619527e+04, 1.7732e+01, -3.7329e+00
1.61214296e+04, 1.7732e+01, -3.6046e+00
1.55984414e+04, 1.7733e+01, -3.4659e+00
1.50924193e+04, 1.7731e+01, -3.3384e+00
1.46028128e+04, 1.7730e+01, -3.2318e+00
1.41290894e+04, 1.7729e+01, -3.1102e+00
1.36707339e+04, 1.7729e+01, -2.9917e+00
1.32272476e+04, 1.7726e+01, -2.8929e+00
1.27981483e+04, 1.7727e+01, -2.7928e+00
1.23829692e+04, 1.7726e+01, -2.6854e+00
1.19812588e+04, 1.7722e+01, -2.5972e+00
1.15925801e+04, 1.7724e+01, -2.5011e+00
1.12165103e+04, 1.7723e+01, -2.4092e+00
1.08526405e+04, 1.7719e+01, -2.3251e+00
1.05005748e+04, 1.7719e+01, -2.2501e+00
1.01599303e+04, 1.7719e+01, -2.1814e+00
9.83033644e+03, 1.7717e+01, -2.0827e+00
9.51143484e+03, 1.7714e+01, -2.0166e+00
9.20287859e+03, 1.7713e+01, -1.9438e+00
8.90433207e+03, 1.7716e+01, -1.8678e+00
8.61547057e+03, 1.7712e+01, -1.8060e+00
8.33597990e+03, 1.7711e+01, -1.7462e+00
8.06555606e+03, 1.7711e+01, -1.6996e+00
7.80390492e+03, 1.7710e+01, -1.6373e+00
7.55074189e+03, 1.7709e+01, -1.5741e+00
7.30579161e+03, 1.7709e+01, -1.5335e+00
7.06878765e+03, 1.7710e+01, -1.4700e+00
6.83947223e+03, 1.7710e+01, -1.4117e+00
6.61759594e+03, 1.7708e+01, -1.3838e+00
6.40291743e+03, 1.7707e+01, -1.3253e+00
6.19520322e+03, 1.7701e+01, -1.2734e+00
5.99422737e+03, 1.7703e+01, -1.2369e+00
5.79977129e+03, 1.7702e+01, -1.1932e+00
5.61162347e+03, 1.7703e+01, -1.1644e+00
5.42957927e+03, 1.7698e+01, -1.1284e+00
5.25344069e+03, 1.7703e+01, -1.0816e+00
5.08301614e+03, 1.7702e+01, -1.0492e+00
4.91812026e+03, 1.7701e+01, -1.0072e+00
4.75857370e+03, 1.7699e+01, -9.8210e-01
4.60420291e+03, 1.7701e+01, -9.4170e-01
4.45484000e+03, 1.7698e+01, -9.1289e-01
4.31032250e+03, 1.7700e+01, -8.8813e-01
4.17049323e+03, 1.7699e+01, -8.6327e-01
4.03520011e+03, 1.7699e+01, -8.3047e-01
3.90429596e+03, 1.7696e+01, -8.0295e-01
3.77763842e+03, 1.7697e+01, -7.7516e-01
3.65508972e+03, 1.7700e+01, -7.4575e-01
3.53651657e+03, 1.7698e+01, -7.4552e-01
3.42179000e+03, 1.7696e+01, -7.0175e-01
3.31078523e+03, 1.7693e+01, -6.8189e-01
3.20338151e+03, 1.7694e+01, -6.5559e-01
3.09946202e+03, 1.7700e+01, -6.3792e-01
2.99891374e+03, 1.7698e+01, -6.1833e-01
2.90162731e+03, 1.7696e+01, -5.9924e-01
2.80749690e+03, 1.7701e+01, -5.7770e-01
2.71642013e+03, 1.7699e+01, -5.6602e-01
2.62829795e+03, 1.7697e+01, -5.5460e-01
2.54303450e+03, 1.7694e+01, -5.2449e-01
2.46053704e+03, 1.7697e+01, -5.1411e-01
2.38071584e+03, 1.7696e+01, -5.0501e-01
2.30348409e+03, 1.7699e+01, -4.9422e-01
2.22875778e+03, 1.7696e+01, -4.6426e-01
2.15645564e+03, 1.7698e+01, -4.5002e-01
2.08649901e+03, 1.7695e+01, -4.4982e-01
2.01881182e+03, 1.7700e+01, -4.2274e-01
1.95332044e+03, 1.7696e+01, -4.0312e-01
1.88995363e+03, 1.7689e+01, -4.0341e-01
1.82864248e+03, 1.7703e+01, -3.8267e-01
1.76932030e+03, 1.7694e+01, -3.5754e-01
1.71192256e+03, 1.7699e+01, -3.6025e-01
1.65638684e+03, 1.7697e+01, -3.4560e-01
1.60265272e+03, 1.7700e+01, -3.4413e-01
1.55066178e+03, 1.7700e+01, -3.3369e-01
1.50035744e+03, 1.7693e+01, -3.1949e-01
1.45168501e+03, 1.7705e+01, -3.0168e-01
1.40459154e+03, 1.7694e+01, -2.9428e-01
1.35902580e+03, 1.7697e+01, -2.8399e-01
1.31493825e+03, 1.7697e+01, -2.7823e-01
1.27228092e+03, 1.7691e+01, -2.6863e-01
1.23100742e+03, 1.7686e+01, -2.6132e-01
1.19107285e+03, 1.7695e+01, -2.5992e-01
1.15243378e+03, 1.7688e+01, -2.4058e-01
1.11504818e+03, 1.7701e+01, -2.3160e-01
1.07887540e+03, 1.7695e+01, -2.2218e-01
1.04387608e+03, 1.7696e+01, -2.3679e-01
1.01001216e+03, 1.7698e+01, -2.1454e-01
9.77246799e+02, 1.7687e+01, -2.2223e-01
9.45544367e+02, 1.7698e+01, -2.2943e-01
9.14870380e+02, 1.7702e+01, -1.9467e-01
8.85191475e+02, 1.7694e+01, -1.8965e-01
8.56475369e+02, 1.7698e+01, -1.7540e-01
8.28690830e+02, 1.7699e+01, -1.9169e-01
8.01807637e+02, 1.7694e+01, -1.7886e-01
7.75796550e+02, 1.7701e+01, -1.8126e-01
7.50629277e+02, 1.7694e+01, -1.6577e-01
7.26278444e+02, 1.7704e+01, -1.6865e-01
7.02717566e+02, 1.7700e+01, -1.4286e-01
6.79921016e+02, 1.7694e+01, -1.5894e-01
6.57863999e+02, 1.7699e+01, -1.4481e-01
6.36522524e+02, 1.7698e+01, -1.4182e-01
6.15873378e+02, 1.7699e+01, -1.4132e-01
5.95894102e+02, 1.7702e+01, -1.4083e-01
5.76562965e+02, 1.7695e+01, -1.2004e-01
5.57858940e+02, 1.7687e+01, -1.4211e-01
5.39761685e+02, 1.7707e+01, -1.2788e-01
5.22251515e+02, 1.7686e+01, -1.2084e-01
5.05309384e+02, 1.7705e+01, -1.1183e-01
4.88916866e+02, 1.7696e+01, -1.0610e-01
4.73056130e+02, 1.7696e+01, -1.2393e-01
4.57709925e+02, 1.7707e+01, -1.0101e-01
4.42861559e+02, 1.7707e+01, -9.3393e-02
4.28494883e+02, 1.7696e+01, -9.9633e-02
4.14594270e+02, 1.7697e+01, -7.9300e-02
4.01144601e+02, 1.7693e+01, -9.9406e-02
3.88131246e+02, 1.7715e+01, -8.5249e-02
3.75540052e+02, 1.7695e+01, -1.0099e-01
3.63357323e+02, 1.7686e+01, -8.8005e-02
3.51569808e+02, 1.7708e+01, -8.4551e-02
3.40164688e+02, 1.7701e+01, -6.2393e-02
3.29129555e+02, 1.7684e+01, -9.5933e-02
3.18452409e+02, 1.7709e+01, -9.2680e-02
3.08121635e+02, 1.7688e+01, -6.4761e-02
2.98125997e+02, 1.7720e+01, -7.9135e-02
2.88454624e+02, 1.7695e+01, -7.3401e-02
2.79096995e+02, 1.7727e+01, -6.4433e-02
2.70042932e+02, 1.7714e+01, -4.5765e-02
2.61282589e+02, 1.7707e+01, -7.1320e-02
2.52806436e+02, 1.7703e+01, -7.9223e-02
2.44605254e+02, 1.7675e+01, -6.7686e-02
2.36670123e+02, 1.7702e+01, -5.4832e-02
2.28992412e+02, 1.7715e+01, -3.1119e-02
2.21563771e+02, 1.7697e+01, -5.3468e-02
2.14376118e+02, 1.7694e+01, -6.3830e-02
2.07421637e+02, 1.7707e+01, -4.1765e-02
2.00692764e+02, 1.7720e+01, -5.9190e-02
1.94182178e+02, 1.7714e+01, -5.5753e-02
1.87882800e+02, 1.7684e+01, -6.1689e-02
1.81787777e+02, 1.7686e+01, -5.5118e-02
1.75890480e+02, 1.7698e+01, -3.5364e-02
1.70184495e+02, 1.7694e+01, -4.1200e-02
1.64663615e+02, 1.7713e+01, -6.0755e-02
1.59321835e+02, 1.7714e+01, -4.3462e-02
1.54153346e+02, 1.7735e+01, -2.5052e-02
1.49152526e+02, 1.7680e+01, -3.2102e-02
1.44313934e+02, 1.7716e+01, -4.2210e-02
1.39632310e+02, 1.7685e+01, -6.9139e-02
1.35102560e+02, 1.7704e+01, -2.7044e-02
1.30719757e+02, 1.7702e+01, -4.5017e-02
1.26479135e+02, 1.7709e+01, -1.0997e-02
1.22376082e+02, 1.7698e+01, -2.6145e-02
1.18406133e+02, 1.7703e+01, -2.9213e-02
1.14564972e+02, 1.7699e+01, -4.7084e-02
1.10848421e+02, 1.7710e+01, -3.6003e-02
1.07252436e+02, 1.7719e+01, -2.2922e-02
1.03773107e+02, 1.7692e+01, -5.3318e-02
1.00406650e+02, 1.7679e+01, -3.3536e-02
9.71494019e+01, 1.7697e+01, -2.1411e-02
9.39978211e+01, 1.7692e+01, -2.0250e-02
9.09484793e+01, 1.7713e+01, -2.6917e-02
8.79980599e+01, 1.7701e+01, -1.5899e-02
8.51433537e+01, 1.7679e+01, -1.9542e-02
8.23812558e+01, 1.7701e+01, -1.6258e-02
7.97087619e+01, 1.7710e+01, -4.6969e-02
7.71229651e+01, 1.7726e+01, -1.8516e-02
7.46210531e+01, 1.7709e+01, -1.9424e-02
7.22003045e+01, 1.7679e+01, -3.8595e-03
6.98580863e+01, 1.7703e+01, -1.0768e-02
6.75918510e+01, 1.7737e+01, -4.2221e-03
6.53991337e+01, 1.7694e+01, -2.6524e-02
6.32775493e+01, 1.7711e+01, -3.7649e-02
6.12247903e+01, 1.7693e+01, 4.9853e-03
5.92386239e+01, 1.7714e+01, -5.8681e-03
5.73168899e+01, 1.7701e+01, -2.1369e-02
5.54574980e+01, 1.7687e+01, -1.4107e-02
5.36584258e+01, 1.7692e+01, -2.1215e-02
5.19177165e+01, 1.7704e+01, -2.9671e-02
5.02334768e+01, 1.7709e+01, -1.4691e-02
4.86038748e+01, 1.7723e+01, -3.3818e-02
4.70271380e+01, 1.7700e+01, -2.2700e-02
4.55015514e+01, 1.7718e+01, -1.1762e-02
4.40254557e+01, 1.7699e+01, -1.1488e-02
4.25972453e+01, 1.7696e+01, -3.0736e-02
4.12153669e+01, 1.7710e+01, 9.9236e-03
3.98783174e+01, 1.7706e+01, -2.4639e-02
3.85846425e+01, 1.7717e+01, -2.5306e-02
3.73329352e+01, 1.7715e+01, -2.3519e-02
3.61218339e+01, 1.7683e+01, -6.3999e-03
3.49500215e+01, 1.7718e+01, -4.8353e-03
3.38162233e+01, 1.7696e+01, -2.3151e-02
3.27192061e+01, 1.7700e+01, -7.6797e-03
3.16577768e+01, 1.7703e+01, -2.4692e-02
3.06307809e+01, 1.7694e+01, -1.6637e-02
2.96371012e+01, 1.7721e+01, -1.2490e-02
2.86756571e+01, 1.7710e+01, -1.2799e-02
2.77454028e+01, 1.7716e+01, -6.9242e-03
2.68453265e+01, 1.7707e+01, 7.5781e-03
2.59744491e+01, 1.7715e+01, -2.4586e-02
2.51318235e+01, 1.7705e+01, 8.7835e-03
2.43165331e+01, 1.7681e+01, -1.2831e-02
2.35276912e+01, 1.7696e+01, -1.0480e-02
2.27644398e+01, 1.7704e+01, -2.2317e-02
2.20259486e+01, 1.7722e+01, -2.0463e-02
2.13114146e+01, 1.7711e+01, -9.6533e-03
