
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.34745879e+05, 4.9501e+00, -4.1935e+00
2.28256936e+05, 4.9353e+00, -4.0539e+00
2.21947364e+05, 4.9193e+00, -3.9270e+00
2.15812203e+05, 4.9055e+00, -3.8033e+00
2.09846633e+05, 4.8935e+00, -3.6819e+00
2.04045966e+05, 4.8813e+00, -3.5583e+00
1.98405643e+05, 4.8704e+00, -3.4455e+00
1.92921232e+05, 4.8604e+00, -3.3312e+00
1.87588424e+05, 4.8485e+00, -3.2255e+00
1.82403027e+05, 4.8398e+00, -3.1289e+00
1.77360967e+05, 4.8301e+00, -3.0279e+00
1.72458282e+05, 4.8220e+00, -2.9314e+00
1.67691119e+05, 4.8114e+00, -2.8460e+00
1.63055732e+05, 4.8044e+00, -2.7387e+00
1.58548478e+05, 4.7980e+00, -2.6441e+00
1.54165815e+05, 4.7857e+00, -2.5843e+00
1.49904300e+05, 4.7820e+00, -2.4768e+00
1.45760584e+05, 4.7756e+00, -2.4090e+00
1.41731409e+05, 4.7669e+00, -2.3289e+00
1.37813611e+05, 4.7633e+00, -2.2336e+00
1.34004111e+05, 4.7556e+00, -2.1961e+00
1.30299914e+05, 4.7534e+00, -2.1441e+00
1.26698110e+05, 4.7456e+00, -2.0647e+00
1.23195868e+05, 4.7423e+00, -1.9877e+00
1.19790437e+05, 4.7367e+00, -1.9395e+00
1.16479140e+05, 4.7335e+00, -1.8672e+00
1.13259376e+05, 4.7324e+00, -1.8173e+00
1.10128613e+05, 4.7272e+00, -1.7582e+00
1.07084393e+05, 4.7195e+00, -1.6974e+00
1.04124322e+05, 4.7217e+00, -1.6271e+00
1.01246074e+05, 4.7194e+00, -1.5758e+00
9.84473883e+04, 4.7160e+00, -1.5437e+00
9.57260650e+04, 4.7129e+00, -1.4701e+00
9.30799655e+04, 4.7071e+00, -1.4091e+00
9.05070107e+04, 4.7055e+00, -1.3885e+00
8.80051785e+04, 4.7042e+00, -1.3177e+00
8.55725030e+04, 4.7016e+00, -1.2712e+00
8.32070726e+04, 4.6990e+00, -1.2351e+00
8.09070283e+04, 4.6962e+00, -1.1784e+00
7.86705628e+04, 4.6914e+00, -1.1458e+00
7.64959186e+04, 4.6919e+00, -1.1079e+00
7.43813868e+04, 4.6868e+00, -1.0645e+00
7.23253058e+04, 4.6868e+00, -1.0070e+00
7.03260598e+04, 4.6855e+00, -9.8990e-01
6.83820778e+04, 4.6831e+00, -9.5224e-01
6.64918322e+04, 4.6820e+00, -9.1882e-01
6.46538375e+04, 4.6790e+00, -8.6107e-01
6.28666494e+04, 4.6779e+00, -8.3844e-01
6.11288635e+04, 4.6778e+00, -7.9942e-01
5.94391142e+04, 4.6757e+00, -7.7382e-01
5.77960737e+04, 4.6739e+00, -7.3018e-01
5.61984508e+04, 4.6707e+00, -6.9546e-01
5.46449900e+04, 4.6697e+00, -6.6668e-01
5.31344706e+04, 4.6670e+00, -6.3531e-01
5.16657056e+04, 4.6684e+00, -6.0164e-01
5.02375408e+04, 4.6645e+00, -5.6430e-01
4.88488540e+04, 4.6645e+00, -5.3868e-01
4.74985538e+04, 4.6636e+00, -5.0903e-01
4.61855791e+04, 4.6616e+00, -4.8960e-01
4.49088983e+04, 4.6614e+00, -4.7606e-01
4.36675080e+04, 4.6605e+00, -4.3853e-01
4.24604327e+04, 4.6576e+00, -4.1421e-01
4.12867238e+04, 4.6550e+00, -3.8439e-01
4.01454592e+04, 4.6536e+00, -3.4708e-01
3.90357418e+04, 4.6515e+00, -3.2348e-01
3.79566997e+04, 4.6502e+00, -3.0842e-01
3.69074849e+04, 4.6522e+00, -3.1204e-01
3.58872730e+04, 4.6497e+00, -2.7182e-01
3.48952622e+04, 4.6479e+00, -2.4084e-01
3.39306729e+04, 4.6460e+00, -2.3171e-01
3.29927472e+04, 4.6432e+00, -1.7967e-01
3.20807481e+04, 4.6421e+00, -1.5019e-01
3.11939588e+04, 4.6383e+00, -1.7473e-01
3.03316825e+04, 4.6371e+00, -1.4180e-01
2.94932416e+04, 4.6368e+00, -1.3149e-01
2.86779773e+04, 4.6325e+00, -9.7286e-02
2.78852488e+04, 4.6381e+00, -9.0211e-02
2.71144332e+04, 4.6340e+00, -6.2757e-02
2.63649248e+04, 4.6302e+00, -3.6337e-02
2.56361347e+04, 4.6297e+00, -1.9088e-02
2.49274901e+04, 4.6262e+00, -9.3820e-03
2.42384341e+04, 4.6272e+00, -6.4740e-03
2.35684253e+04, 4.6213e+00, 1.1411e-02
2.29169371e+04, 4.6254e+00, 3.9633e-02
2.22834577e+04, 4.6196e+00, 4.0274e-02
2.16674892e+04, 4.6169e+00, 4.0909e-02
2.10685475e+04, 4.6102e+00, 4.8641e-02
2.04861620e+04, 4.6162e+00, 9.8081e-02
1.99198750e+04, 4.6118e+00, 8.4943e-02
1.93692416e+04, 4.6085e+00, 1.0080e-01
1.88338290e+04, 4.6105e+00, 1.3205e-01
1.83132166e+04, 4.6108e+00, 1.2364e-01
1.78069951e+04, 4.5997e+00, 1.3205e-01
1.73147667e+04, 4.6000e+00, 1.5585e-01
1.68361448e+04, 4.6007e+00, 1.5048e-01
1.63707531e+04, 4.6019e+00, 1.5177e-01
1.59182260e+04, 4.5969e+00, 1.5866e-01
1.54782078e+04, 4.5968e+00, 1.5969e-01
1.50503528e+04, 4.5984e+00, 1.8024e-01
1.46343248e+04, 4.5866e+00, 1.8631e-01
1.42297967e+04, 4.5922e+00, 2.0033e-01
1.38364508e+04, 4.5897e+00, 1.6269e-01
1.34539779e+04, 4.5873e+00, 1.9829e-01
