Gain = 4.73 dB
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -2.9461e+01, -6.5777e+01
1.93511888e+07, -2.9686e+01, -7.2625e+01
1.87234255e+07, -2.9702e+01, -7.9508e+01
1.81160271e+07, -2.9609e+01, -8.6282e+01
1.75283331e+07, -2.9551e+01, -9.2899e+01
1.69597042e+07, -2.9405e+01, -9.9315e+01
1.64095219e+07, -2.9256e+01, -1.0511e+02
1.58771878e+07, -2.9009e+01, -1.1087e+02
1.53621230e+07, -2.8816e+01, -1.1621e+02
1.48637672e+07, -2.8548e+01, -1.2124e+02
1.43815783e+07, -2.8235e+01, -1.2607e+02
1.39150318e+07, -2.7958e+01, -1.3061e+02
1.34636204e+07, -2.7647e+01, -1.3448e+02
1.30268531e+07, -2.7346e+01, -1.3851e+02
1.26042547e+07, -2.7022e+01, -1.4207e+02
1.21953656e+07, -2.6637e+01, -1.4530e+02
1.17997412e+07, -2.6262e+01, -1.4833e+02
1.14169510e+07, -2.5877e+01, -1.5096e+02
1.10465787e+07, -2.5461e+01, -1.5349e+02
1.06882215e+07, -2.5028e+01, -1.5555e+02
1.03414897e+07, -2.4606e+01, -1.5755e+02
1.00060060e+07, -2.4156e+01, -1.5911e+02
9.68140556e+06, -2.3720e+01, -1.6069e+02
9.36733536e+06, -2.3251e+01, -1.6202e+02
9.06345377e+06, -2.2765e+01, -1.6285e+02
8.76943028e+06, -2.2302e+01, -1.6380e+02
8.48494506e+06, -2.1787e+01, -1.6433e+02
8.20968871e+06, -2.1277e+01, -1.6479e+02
7.94336183e+06, -2.0755e+01, -1.6514e+02
7.68567474e+06, -2.0252e+01, -1.6521e+02
7.43634716e+06, -1.9724e+01, -1.6512e+02
7.19510791e+06, -1.9188e+01, -1.6499e+02
6.96169459e+06, -1.8665e+01, -1.6463e+02
6.73585333e+06, -1.8129e+01, -1.6412e+02
6.51733849e+06, -1.7587e+01, -1.6361e+02
6.30591239e+06, -1.7033e+01, -1.6290e+02
6.10134508e+06, -1.6491e+01, -1.6208e+02
5.90341404e+06, -1.5946e+01, -1.6118e+02
5.71190399e+06, -1.5397e+01, -1.6019e+02
5.52660664e+06, -1.4840e+01, -1.5909e+02
5.34732044e+06, -1.4305e+01, -1.5798e+02
5.17385038e+06, -1.3780e+01, -1.5682e+02
5.00600778e+06, -1.3250e+01, -1.5555e+02
4.84361010e+06, -1.2738e+01, -1.5423e+02
4.68648068e+06, -1.2228e+01, -1.5293e+02
4.53444863e+06, -1.1739e+01, -1.5155e+02
4.38734859e+06, -1.1258e+01, -1.5013e+02
4.24502055e+06, -1.0786e+01, -1.4874e+02
4.10730972e+06, -1.0318e+01, -1.4728e+02
3.97406630e+06, -9.8654e+00, -1.4585e+02
3.84514537e+06, -9.4106e+00, -1.4442e+02
3.72040671e+06, -8.9724e+00, -1.4290e+02
3.59971464e+06, -8.5241e+00, -1.4144e+02
3.48293789e+06, -8.0834e+00, -1.3997e+02
3.36994944e+06, -7.6458e+00, -1.3851e+02
3.26062640e+06, -7.2131e+00, -1.3707e+02
3.15484986e+06, -6.7908e+00, -1.3563e+02
3.05250477e+06, -6.3758e+00, -1.3422e+02
2.95347981e+06, -5.9731e+00, -1.3282e+02
2.85766727e+06, -5.5794e+00, -1.3143e+02
2.76496295e+06, -5.1864e+00, -1.3007e+02
2.67526601e+06, -4.7860e+00, -1.2873e+02
2.58847889e+06, -4.3781e+00, -1.2740e+02
2.50450719e+06, -3.9766e+00, -1.2611e+02
2.42325958e+06, -3.5812e+00, -1.2483e+02
2.34464769e+06, -3.1936e+00, -1.2357e+02
2.26858601e+06, -2.8114e+00, -1.2232e+02
2.19499181e+06, -2.4321e+00, -1.2107e+02
2.12378505e+06, -2.0599e+00, -1.1984e+02
2.05488828e+06, -1.6836e+00, -1.1857e+02
1.98822656e+06, -1.3583e+00, -1.1721e+02
1.92372738e+06, -1.0010e+00, -1.1642e+02
1.86132059e+06, -6.1706e-01, -1.1534e+02
1.80093831e+06, -2.3718e-01, -1.1425e+02
1.74251487e+06, 1.4986e-01, -1.1318e+02
1.68598671e+06, 5.4000e-01, -1.1212e+02
1.63129236e+06, 9.1801e-01, -1.1109e+02
1.57837233e+06, 1.3191e+00, -1.1010e+02
1.52716905e+06, 1.7512e+00, -1.0893e+02
1.47762683e+06, 2.2028e+00, -1.0740e+02
1.42969179e+06, 2.5916e+00, -1.0541e+02
1.38331179e+06, 2.8766e+00, -1.0338e+02
1.33843639e+06, 3.1305e+00, -1.0191e+02
1.29501676e+06, 3.4027e+00, -1.0068e+02
1.25300570e+06, 3.6973e+00, -9.9566e+01
1.21235749e+06, 4.0061e+00, -9.8422e+01
1.17302794e+06, 4.3197e+00, -9.7308e+01
1.13497426e+06, 4.6399e+00, -9.6125e+01
1.09815506e+06, 4.9647e+00, -9.4900e+01
1.06253030e+06, 5.2835e+00, -9.3673e+01
1.02806122e+06, 5.5966e+00, -9.2407e+01
9.94710340e+05, 5.9067e+00, -9.1106e+01
9.62441382e+05, 6.2171e+00, -8.9824e+01
9.31219246e+05, 6.5286e+00, -8.8590e+01
9.01009974e+05, 6.8572e+00, -8.7142e+01
8.71780708e+05, 7.1541e+00, -8.5629e+01
8.43499655e+05, 7.4532e+00, -8.4183e+01
8.16136056e+05, 7.7390e+00, -8.2713e+01
7.89660147e+05, 8.0232e+00, -8.1231e+01
7.64043131e+05, 8.3066e+00, -7.9704e+01
7.39257145e+05, 8.5743e+00, -7.8160e+01
7.15275231e+05, 8.8347e+00, -7.6592e+01
6.92071303e+05, 9.0880e+00, -7.5018e+01
6.69620124e+05, 9.3312e+00, -7.3417e+01
6.47897273e+05, 9.5665e+00, -7.1834e+01
6.26879124e+05, 9.7999e+00, -7.0211e+01
6.06542816e+05, 1.0017e+01, -6.8574e+01
5.86866228e+05, 1.0228e+01, -6.6959e+01
5.67827960e+05, 1.0428e+01, -6.5332e+01
5.49407304e+05, 1.0618e+01, -6.3724e+01
5.31584225e+05, 1.0801e+01, -6.2127e+01
5.14339336e+05, 1.0981e+01, -6.0566e+01
4.97653881e+05, 1.1155e+01, -5.8943e+01
4.81509711e+05, 1.1309e+01, -5.7333e+01
4.65889267e+05, 1.1459e+01, -5.5740e+01
4.50775559e+05, 1.1599e+01, -5.4176e+01
4.36152149e+05, 1.1736e+01, -5.2648e+01
4.22003130e+05, 1.1859e+01, -5.1130e+01
4.08313113e+05, 1.1977e+01, -4.9650e+01
3.95067207e+05, 1.2087e+01, -4.8211e+01
3.82251007e+05, 1.2193e+01, -4.6760e+01
3.69850571e+05, 1.2291e+01, -4.5383e+01
3.57852412e+05, 1.2383e+01, -4.4016e+01
3.46243480e+05, 1.2469e+01, -4.2683e+01
3.35011148e+05, 1.2550e+01, -4.1382e+01
3.24143200e+05, 1.2625e+01, -4.0107e+01
3.13627813e+05, 1.2696e+01, -3.8864e+01
3.03453552e+05, 1.2761e+01, -3.7663e+01
2.93609349e+05, 1.2823e+01, -3.6483e+01
2.84084498e+05, 1.2879e+01, -3.5340e+01
2.74868639e+05, 1.2933e+01, -3.4226e+01
2.65951747e+05, 1.2979e+01, -3.3145e+01
2.57324123e+05, 1.3028e+01, -3.2102e+01
2.48976385e+05, 1.3071e+01, -3.1081e+01
2.40899452e+05, 1.3110e+01, -3.0098e+01
2.33084540e+05, 1.3147e+01, -2.9143e+01
2.25523147e+05, 1.3182e+01, -2.8200e+01
2.18207050e+05, 1.3216e+01, -2.7299e+01
2.11128292e+05, 1.3245e+01, -2.6426e+01
2.04279172e+05, 1.3274e+01, -2.5571e+01
1.97652242e+05, 1.3301e+01, -2.4759e+01
1.91240293e+05, 1.3325e+01, -2.3960e+01
1.85036351e+05, 1.3347e+01, -2.3185e+01
1.79033669e+05, 1.3371e+01, -2.2436e+01
