
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.99073847e+05, -3.5918e+01, -4.3305e+00
1.95082584e+05, -3.5954e+01, -5.0613e+00
1.91171342e+05, -3.6072e+01, -4.8885e+00
1.87338518e+05, -3.6114e+01, -4.5079e+00
1.83582538e+05, -3.6207e+01, -3.8029e+00
1.79901863e+05, -3.6205e+01, -5.1239e+00
1.76294982e+05, -3.6373e+01, -4.7404e+00
1.72760416e+05, -3.6297e+01, -3.8620e+00
1.69296715e+05, -3.6402e+01, -4.9944e+00
1.65902458e+05, -3.6408e+01, -2.3460e+00
1.62576254e+05, -3.6543e+01, -3.1066e+00
1.59316736e+05, -3.6734e+01, -2.5931e+00
1.56122570e+05, -3.6913e+01, -3.3696e+00
1.52992444e+05, -3.6995e+01, -2.1059e+00
1.49925074e+05, -3.7378e+01, -2.8448e+00
1.46919203e+05, -3.7499e+01, -3.4321e-01
1.43973596e+05, -3.7531e+01, -5.2498e-01
1.41087047e+05, -3.7788e+01, -4.4143e-01
1.38258370e+05, -3.7670e+01, -2.2930e+00
1.35486406e+05, -3.8433e+01, -4.0491e+00
1.32770018e+05, -3.8663e+01, -5.1076e+00
1.30108091e+05, -3.8610e+01, -4.8331e+00
1.27499533e+05, -3.8682e+01, -2.1018e+00
1.24943275e+05, -3.8582e+01, -2.6484e+00
1.22438267e+05, -3.8474e+01, -4.5569e+00
1.19983483e+05, -3.9598e+01, -3.9052e+00
1.17577915e+05, -3.9704e+01, -6.3034e+00
1.15220577e+05, -3.9462e+01, -6.1002e+00
1.12910501e+05, -3.9610e+01, -5.5691e+00
1.10646741e+05, -4.0253e+01, -5.6625e+00
1.08428367e+05, -4.0762e+01, -3.7463e+00
1.06254469e+05, -4.0369e+01, -2.7183e+00
1.04124156e+05, -4.1421e+01, -6.8739e+00
1.02036555e+05, -4.1456e+01, -5.4493e+00
9.99908076e+04, -4.1604e+01, -3.8523e+00
9.79860760e+04, -4.2122e+01, -5.5235e+00
9.60215376e+04, -4.3560e+01, -3.7087e+00
9.40963866e+04, -4.3722e+01, -7.3332e+00
9.22098333e+04, -4.3999e+01, -7.8110e+00
9.03611037e+04, -4.4855e+01, -8.9932e+00
8.85494396e+04, -4.6228e+01, -7.3288e-01
8.67740979e+04, -4.7569e+01, -1.1097e+00
8.50343502e+04, -4.7289e+01, -7.8137e+00
8.33294831e+04, -4.9587e+01, -1.6800e+01
8.16587970e+04, -5.1559e+01, -1.3712e+01
8.00216069e+04, -5.2788e+01, -2.1324e+01
7.84172410e+04, -5.7588e+01, -2.3252e+01
7.68450413e+04, -6.8682e+01, -3.3391e+01
7.53043629e+04, -6.4827e+01, -1.2130e+02
7.37945738e+04, -5.8155e+01, -1.5001e+02
7.23150547e+04, -5.3250e+01, -1.6103e+02
7.08651987e+04, -5.0091e+01, -1.6696e+02
6.94444111e+04, -4.7361e+01, -1.7213e+02
6.80521091e+04, -4.6367e+01, -1.6737e+02
6.66877216e+04, -4.4972e+01, -1.7188e+02
6.53506889e+04, -4.3386e+01, -1.7444e+02
6.40404626e+04, -4.1876e+01, -1.7378e+02
6.27565052e+04, -4.0957e+01, -1.7656e+02
6.14982900e+04, -4.0017e+01, -1.7250e+02
6.02653011e+04, -3.8844e+01, -1.7542e+02
5.90570325e+04, -3.7735e+01, -1.7776e+02
5.78729887e+04, -3.7209e+01, -1.7424e+02
5.67126840e+04, -3.6182e+01, -1.7622e+02
5.55756424e+04, -3.5646e+01, -1.7368e+02
5.44613975e+04, -3.4776e+01, -1.7512e+02
5.33694923e+04, -3.4211e+01, -1.7568e+02
5.22994789e+04, -3.3570e+01, -1.7524e+02
5.12509184e+04, -3.3008e+01, -1.7579e+02
5.02233806e+04, -3.2254e+01, -1.7460e+02
4.92164441e+04, -3.1655e+01, -1.7504e+02
4.82296958e+04, -3.1256e+01, -1.7570e+02
4.72627310e+04, -3.0658e+01, -1.7537e+02
4.63151530e+04, -3.0006e+01, -1.7540e+02
4.53865732e+04, -2.9448e+01, -1.7475e+02
4.44766106e+04, -2.8963e+01, -1.7516e+02
4.35848919e+04, -2.8445e+01, -1.7465e+02
4.27110515e+04, -2.7776e+01, -1.7479e+02
4.18547309e+04, -2.7254e+01, -1.7517e+02
4.10155788e+04, -2.6726e+01, -1.7435e+02
4.01932509e+04, -2.6286e+01, -1.7500e+02
3.93874101e+04, -2.5639e+01, -1.7436e+02
3.85977256e+04, -2.5152e+01, -1.7430e+02
