
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.12868920e+06, -6.7039e+01, -2.2738e+01
2.08601078e+06, -6.6532e+01, -8.5112e+00
2.04418802e+06, -6.7867e+01, -3.9448e+01
2.00320377e+06, -6.8198e+01, -9.3506e+00
1.96304122e+06, -6.7275e+01, -2.0173e+00
1.92368389e+06, -6.5851e+01, -1.6075e+01
1.88511565e+06, -6.6816e+01, -1.2440e+01
1.84732067e+06, -6.6837e+01, -1.7159e+01
1.81028344e+06, -6.5111e+01, -1.4584e+01
1.77398878e+06, -6.6477e+01, -2.0576e+01
1.73842180e+06, -6.7162e+01, -1.4259e+01
1.70356791e+06, -6.6019e+01, -3.1742e+01
1.66941280e+06, -6.4926e+01, -2.1350e+01
1.63594248e+06, -6.6153e+01, -3.1757e+01
1.60314321e+06, -6.5650e+01, -1.7357e+01
1.57100154e+06, -6.8031e+01, -2.4183e+01
1.53950428e+06, -6.3721e+01, -2.9757e+01
1.50863851e+06, -6.5469e+01, -3.0054e+01
1.47839158e+06, -6.3984e+01, -2.5796e+01
1.44875107e+06, -6.8055e+01, -3.5343e+01
1.41970483e+06, -6.5919e+01, -1.6252e+01
1.39124095e+06, -6.4674e+01, -2.1171e+01
1.36334774e+06, -6.6053e+01, -4.1194e+01
1.33601376e+06, -6.6169e+01, -2.6151e+01
1.30922781e+06, -6.4467e+01, -2.1998e+01
1.28297889e+06, -6.2604e+01, -3.3945e+01
1.25725625e+06, -6.4606e+01, -3.7766e+01
1.23204932e+06, -6.2960e+01, -3.6020e+01
1.20734777e+06, -6.3112e+01, -2.4658e+01
1.18314146e+06, -6.3643e+01, -3.4565e+01
1.15942047e+06, -6.2934e+01, -2.9772e+01
1.13617506e+06, -6.4695e+01, -3.4926e+01
1.11339571e+06, -6.4734e+01, -2.4290e+01
1.09107306e+06, -6.3793e+01, -3.0463e+01
1.06919797e+06, -6.2805e+01, -3.3861e+01
1.04776145e+06, -6.2514e+01, -3.8511e+01
1.02675471e+06, -6.3172e+01, -3.6330e+01
1.00616914e+06, -6.4433e+01, -3.4929e+01
9.85996299e+05, -6.4510e+01, -4.0741e+01
9.66227903e+05, -6.2848e+01, -4.4000e+01
9.46855846e+05, -6.1545e+01, -5.0687e+01
9.27872183e+05, -6.4935e+01, -5.8597e+01
9.09269127e+05, -6.1076e+01, -5.8006e+01
8.91039046e+05, -6.1923e+01, -4.8176e+01
8.73174463e+05, -6.1505e+01, -4.2747e+01
8.55668050e+05, -6.0783e+01, -5.3259e+01
8.38512625e+05, -6.1016e+01, -4.3838e+01
8.21701153e+05, -6.0236e+01, -4.5585e+01
8.05226736e+05, -5.9927e+01, -5.2122e+01
7.89082618e+05, -5.9965e+01, -4.8605e+01
7.73262175e+05, -6.0654e+01, -4.9024e+01
7.57758919e+05, -5.9480e+01, -4.4920e+01
7.42566491e+05, -5.9910e+01, -5.6635e+01
7.27678657e+05, -6.0300e+01, -5.8617e+01
7.13089313e+05, -6.0298e+01, -4.9281e+01
6.98792472e+05, -5.8791e+01, -5.3817e+01
6.84782271e+05, -5.9683e+01, -5.0892e+01
6.71052963e+05, -5.9755e+01, -5.8586e+01
6.57598916e+05, -5.9987e+01, -5.9789e+01
6.44414611e+05, -5.9741e+01, -6.1082e+01
6.31494640e+05, -5.8904e+01, -4.6414e+01
6.18833704e+05, -5.9688e+01, -5.8147e+01
6.06426609e+05, -5.7455e+01, -5.9101e+01
5.94268266e+05, -5.8801e+01, -5.2789e+01
5.82353687e+05, -5.7675e+01, -6.0587e+01
5.70677986e+05, -5.7309e+01, -6.2067e+01
5.59236372e+05, -5.5366e+01, -5.8543e+01
5.48024154e+05, -5.6178e+01, -4.6829e+01
5.37036731e+05, -5.5286e+01, -5.4049e+01
5.26269596e+05, -5.4276e+01, -4.2291e+01
5.15718334e+05, -6.6862e+01, -1.4308e+02
5.05378615e+05, -5.5033e+01, -2.5244e+01
4.95246199e+05, -5.6706e+01, -2.3024e+01
4.85316929e+05, -5.8943e+01, -1.7352e+01
4.75586733e+05, -5.9756e+01, -1.6567e+01
4.66051620e+05, -6.0420e+01, -2.4980e+01
4.56707677e+05, -5.9899e+01, -3.8004e+01
4.47551072e+05, -6.1151e+01, -4.9448e+01
4.38578050e+05, -5.9982e+01, -5.1477e+01
4.29784929e+05, -6.0631e+01, -4.0744e+01
4.21168103e+05, -5.9308e+01, -5.1465e+01
4.12724037e+05, -5.8475e+01, -5.0555e+01
4.04449267e+05, -5.8320e+01, -5.4732e+01
3.96340400e+05, -5.8858e+01, -5.6578e+01
3.88394108e+05, -5.8109e+01, -5.4324e+01
3.80607133e+05, -5.7917e+01, -6.2053e+01
3.72976281e+05, -5.8975e+01, -6.2495e+01
3.65498420e+05, -5.8434e+01, -6.3769e+01
3.58170484e+05, -5.7476e+01, -6.3908e+01
3.50989467e+05, -5.7382e+01, -4.8268e+01
3.43952424e+05, -5.7028e+01, -5.8524e+01
3.37056467e+05, -5.6148e+01, -6.2386e+01
3.30298769e+05, -5.7346e+01, -7.0722e+01
3.23676556e+05, -5.6307e+01, -6.2499e+01
3.17187114e+05, -5.7308e+01, -6.4046e+01
3.10827779e+05, -5.5405e+01, -6.1465e+01
3.04595944e+05, -5.4874e+01, -6.7293e+01
2.98489051e+05, -5.6010e+01, -7.0232e+01
2.92504597e+05, -5.5655e+01, -5.9964e+01
2.86640126e+05, -5.5039e+01, -6.4215e+01
2.80893233e+05, -5.5734e+01, -6.5659e+01
2.75261560e+05, -5.5405e+01, -6.3439e+01
2.69742797e+05, -5.5721e+01, -6.1517e+01
2.64334681e+05, -5.4609e+01, -6.3927e+01
2.59034993e+05, -5.5570e+01, -6.4130e+01
2.53841560e+05, -5.4080e+01, -6.6819e+01
2.48752250e+05, -5.4182e+01, -6.0965e+01
2.43764977e+05, -5.4644e+01, -6.0235e+01
2.38877694e+05, -5.3585e+01, -6.7971e+01
2.34088397e+05, -5.3521e+01, -6.4729e+01
2.29395122e+05, -5.4025e+01, -6.4404e+01
2.24795943e+05, -5.3907e+01, -6.7954e+01
2.20288973e+05, -5.3666e+01, -6.4392e+01
2.15872365e+05, -5.2883e+01, -6.3788e+01
2.11544305e+05, -5.3597e+01, -6.5383e+01
2.07303020e+05, -5.2587e+01, -6.6065e+01
2.03146769e+05, -5.2302e+01, -6.7184e+01
1.99073847e+05, -5.2663e+01, -6.4919e+01
1.95082584e+05, -5.3261e+01, -7.0213e+01
1.91171342e+05, -5.2345e+01, -6.5041e+01
1.87338518e+05, -5.1065e+01, -6.6531e+01
1.83582538e+05, -5.1512e+01, -6.3671e+01
1.79901863e+05, -5.1942e+01, -6.1323e+01
1.76294982e+05, -5.2099e+01, -6.5766e+01
1.72760416e+05, -5.1536e+01, -6.2417e+01
1.69296715e+05, -5.2451e+01, -6.5701e+01
1.65902458e+05, -5.0309e+01, -6.1487e+01
1.62576254e+05, -5.1965e+01, -5.8427e+01
1.59316736e+05, -5.1404e+01, -6.3201e+01
1.56122570e+05, -5.2484e+01, -5.9679e+01
1.52992444e+05, -5.1313e+01, -7.7376e+01
1.49925074e+05, -5.0462e+01, -6.7654e+01
1.46919203e+05, -5.2192e+01, -6.9210e+01
1.43973596e+05, -5.2056e+01, -7.6759e+01
1.41087047e+05, -5.0847e+01, -7.4834e+01
