
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
5.78630306e+05, 9.2174e+00, -8.3512e+01
5.61371684e+05, 9.4622e+00, -8.2825e+01
5.44627829e+05, 9.7021e+00, -8.2110e+01
5.28383388e+05, 9.9407e+00, -8.1454e+01
5.12623465e+05, 1.0188e+01, -8.0768e+01
4.97333607e+05, 1.0431e+01, -8.0033e+01
4.82499796e+05, 1.0667e+01, -7.9292e+01
4.68108428e+05, 1.0903e+01, -7.8544e+01
4.54146307e+05, 1.1139e+01, -7.7823e+01
4.40600629e+05, 1.1371e+01, -7.7085e+01
4.27458974e+05, 1.1605e+01, -7.6353e+01
4.14709291e+05, 1.1835e+01, -7.5604e+01
4.02339889e+05, 1.2066e+01, -7.4863e+01
3.90339425e+05, 1.2287e+01, -7.4102e+01
3.78696895e+05, 1.2511e+01, -7.3344e+01
3.67401624e+05, 1.2735e+01, -7.2586e+01
3.56443252e+05, 1.2957e+01, -7.1827e+01
3.45811733e+05, 1.3176e+01, -7.1037e+01
3.35497316e+05, 1.3391e+01, -7.0263e+01
3.25490544e+05, 1.3606e+01, -6.9477e+01
3.15782241e+05, 1.3817e+01, -6.8671e+01
3.06363505e+05, 1.4026e+01, -6.7873e+01
2.97225698e+05, 1.4234e+01, -6.7053e+01
2.88360441e+05, 1.4439e+01, -6.6237e+01
2.79759606e+05, 1.4641e+01, -6.5420e+01
2.71415305e+05, 1.4841e+01, -6.4584e+01
2.63319887e+05, 1.5036e+01, -6.3742e+01
2.55465929e+05, 1.5230e+01, -6.2887e+01
2.47846228e+05, 1.5423e+01, -6.2048e+01
2.40453797e+05, 1.5611e+01, -6.1183e+01
2.33281858e+05, 1.5797e+01, -6.0317e+01
2.26323834e+05, 1.5978e+01, -5.9447e+01
2.19573345e+05, 1.6158e+01, -5.8571e+01
2.13024201e+05, 1.6332e+01, -5.7685e+01
2.06670396e+05, 1.6504e+01, -5.6798e+01
2.00506104e+05, 1.6674e+01, -5.5902e+01
1.94525672e+05, 1.6840e+01, -5.5008e+01
1.88723616e+05, 1.7004e+01, -5.4108e+01
1.83094617e+05, 1.7162e+01, -5.3198e+01
1.77633512e+05, 1.7316e+01, -5.2294e+01
1.72335294e+05, 1.7468e+01, -5.1386e+01
1.67195104e+05, 1.7616e+01, -5.0471e+01
1.62208229e+05, 1.7760e+01, -4.9565e+01
1.57370095e+05, 1.7899e+01, -4.8659e+01
1.52676268e+05, 1.8036e+01, -4.7748e+01
1.48122441e+05, 1.8170e+01, -4.6839e+01
1.43704440e+05, 1.8299e+01, -4.5930e+01
1.39418214e+05, 1.8424e+01, -4.5031e+01
1.35259831e+05, 1.8545e+01, -4.4125e+01
1.31225479e+05, 1.8665e+01, -4.3220e+01
1.27311458e+05, 1.8778e+01, -4.2329e+01
