	mass_B
t	x
2.169500E1	2.457928E-1
2.169833E1	2.471646E-1
2.170333E1	2.485364E-1
2.170667E1	2.502511E-1
2.171167E1	2.523087E-1
2.171500E1	2.533375E-1
2.172000E1	2.543663E-1
2.172333E1	2.557381E-1
2.172833E1	2.574528E-1
2.173167E1	2.601963E-1
2.174000E1	2.622540E-1
2.174500E1	2.639687E-1
2.175333E1	2.656834E-1
2.175667E1	2.684269E-1
2.176167E1	2.694557E-1
2.176500E1	2.715134E-1
2.177000E1	2.735710E-1
2.177333E1	2.742569E-1
2.177833E1	2.756286E-1
2.178167E1	2.763145E-1
2.178667E1	2.770004E-1
2.179000E1	2.794010E-1
2.179500E1	2.821445E-1
2.180333E1	2.859168E-1
2.181167E1	2.883174E-1
2.181500E1	2.896892E-1
2.182000E1	2.914039E-1
2.182333E1	2.924327E-1
2.182833E1	2.927756E-1
2.183167E1	2.938045E-1
2.183667E1	2.951762E-1
2.184000E1	2.965480E-1
2.184500E1	2.982627E-1
2.184833E1	2.989486E-1
2.185333E1	2.999774E-1
2.185667E1	3.016921E-1
2.186167E1	3.040927E-1
2.187000E1	3.054644E-1
2.187333E1	3.082080E-1
2.188167E1	3.095797E-1
2.188667E1	3.112944E-1
2.189000E1	3.133521E-1
2.189500E1	3.154097E-1
2.189833E1	3.160956E-1
2.190333E1	3.174673E-1
2.190667E1	3.188391E-1
2.191167E1	3.191820E-1
2.191500E1	3.205538E-1
2.192000E1	3.219256E-1
2.192333E1	3.236403E-1
2.192833E1	3.267267E-1
2.194500E1	3.287844E-1
2.194833E1	3.304991E-1
2.195333E1	3.322138E-1
2.195667E1	3.322138E-1
2.196167E1	3.335855E-1
2.196500E1	3.342714E-1
2.197000E1	3.363290E-1
2.197333E1	3.373579E-1
2.197833E1	3.380437E-1
2.198167E1	3.383867E-1
2.198667E1	3.394155E-1
2.199000E1	3.404443E-1
2.199500E1	3.418161E-1
2.199833E1	3.428449E-1
2.200833E1	3.442167E-1
2.201167E1	3.449026E-1
2.201667E1	3.459314E-1
2.202000E1	3.473031E-1
2.202500E1	3.479890E-1
2.202833E1	3.490178E-1
2.203333E1	3.503896E-1
2.203667E1	3.514184E-1
2.204167E1	3.527902E-1
2.204500E1	3.534761E-1
2.205000E1	3.545049E-1
2.205333E1	3.562196E-1
2.206167E1	3.582772E-1
2.206667E1	3.603349E-1
2.207500E1	3.606778E-1
2.207833E1	3.620496E-1
2.208333E1	3.623925E-1
2.208667E1	3.627354E-1
2.209167E1	3.630784E-1
2.209500E1	3.641072E-1
2.210000E1	3.644501E-1
2.210333E1	3.647931E-1
2.210833E1	3.661648E-1
2.211167E1	3.668507E-1
2.211667E1	3.678795E-1
2.212000E1	3.692513E-1
2.212833E1	3.699372E-1
2.213333E1	3.709660E-1
2.213667E1	3.713089E-1
2.214167E1	3.716519E-1
2.214500E1	3.726807E-1
2.215000E1	3.730236E-1
2.215333E1	3.733666E-1
2.215833E1	3.743954E-1
2.216167E1	3.750813E-1
2.216667E1	3.757672E-1
2.217000E1	3.767960E-1
2.217500E1	3.771389E-1
2.217833E1	3.781677E-1
2.218333E1	3.785107E-1
2.219167E1	3.795395E-1
2.219500E1	3.802254E-1
2.220333E1	3.809113E-1
2.220833E1	3.815972E-1
2.221167E1	3.829689E-1
2.221667E1	3.836548E-1
2.222000E1	3.839977E-1
2.222500E1	3.846836E-1
2.222833E1	3.850266E-1
2.223333E1	3.853695E-1
2.223667E1	3.857124E-1
2.224167E1	3.863983E-1
2.224500E1	3.863983E-1
2.225000E1	3.867413E-1
2.225833E1	3.874271E-1
2.226167E1	3.874271E-1
2.226667E1	3.877701E-1
2.227000E1	3.884560E-1
2.227500E1	3.887989E-1
2.227833E1	3.894848E-1
2.228333E1	3.894848E-1
2.228667E1	3.898277E-1
2.229167E1	3.901707E-1
2.229500E1	3.905136E-1
2.230000E1	3.908565E-1
2.230333E1	3.908565E-1
2.230833E1	3.905136E-1
2.231667E1	3.911995E-1
2.232500E1	3.918854E-1
2.232833E1	3.922283E-1
2.233333E1	3.922283E-1
2.233667E1	3.922283E-1
2.234167E1	3.925712E-1
2.234500E1	3.929142E-1
2.235000E1	3.929142E-1
2.235333E1	3.929142E-1
2.235833E1	3.932571E-1
2.236167E1	3.932571E-1
2.236667E1	3.936001E-1
2.237000E1	3.936001E-1
2.237500E1	3.936001E-1
2.238667E1	3.936001E-1
2.239167E1	3.936001E-1
2.239500E1	3.936001E-1
2.240000E1	3.936001E-1
2.240333E1	3.932571E-1
2.240833E1	3.929142E-1
2.241167E1	3.925712E-1
2.241667E1	3.925712E-1
2.242000E1	3.922283E-1
2.242500E1	3.922283E-1
2.242833E1	3.922283E-1
2.243333E1	3.922283E-1
2.243667E1	3.922283E-1
2.244167E1	3.922283E-1
2.245000E1	3.918854E-1
2.245333E1	3.915424E-1
2.245833E1	3.915424E-1
2.246167E1	3.911995E-1
2.246667E1	3.908565E-1
2.247000E1	3.908565E-1
2.247500E1	3.905136E-1
2.247833E1	3.901707E-1
2.248333E1	3.901707E-1
2.248667E1	3.901707E-1
2.249167E1	3.898277E-1
2.249500E1	3.894848E-1
2.250000E1	3.887989E-1
2.250833E1	3.881130E-1
2.251167E1	3.870842E-1
2.252000E1	3.867413E-1
2.252500E1	3.863983E-1
2.252833E1	3.860554E-1
2.253333E1	3.857124E-1
2.253667E1	3.853695E-1
2.254167E1	3.853695E-1
2.254500E1	3.846836E-1
2.255000E1	3.836548E-1
2.255333E1	3.826260E-1
2.255833E1	3.826260E-1
2.256167E1	3.819401E-1
2.257000E1	3.812542E-1
2.257833E1	3.805683E-1
2.258333E1	3.798824E-1
2.258667E1	3.798824E-1
