	mass_A
t	x
3.366667E0	-8.029645E1
3.371667E0	-8.057734E1
3.375000E0	-8.234797E1
3.380000E0	-8.276646E1
3.383333E0	-8.439165E1
3.388333E0	-8.440579E1
3.391667E0	-8.665497E1
3.396667E0	-8.731907E1
3.400000E0	-8.845669E1
3.405000E0	-8.909610E1
3.408333E0	-8.999178E1
3.413333E0	-9.087058E1
3.416667E0	-9.141612E1
3.421667E0	-9.170835E1
3.425000E0	-9.345239E1
3.430000E0	-9.383669E1
3.433333E0	-9.331204E1
3.438333E0	-9.557537E1
3.441667E0	-9.613453E1
3.446667E0	-9.673758E1
3.450000E0	-9.683881E1
3.455000E0	-9.782019E1
3.458333E0	-9.791270E1
3.463333E0	-9.915750E1
3.466667E0	-9.936561E1
3.471667E0	-1.002384E2
3.475000E0	-1.007810E2
3.480000E0	-1.005875E2
3.483333E0	-1.015517E2
3.488333E0	-1.022611E2
3.491667E0	-1.024371E2
3.496667E0	-1.034749E2
3.500000E0	-1.039231E2
3.505000E0	-1.045916E2
3.508333E0	-1.045523E2
3.513333E0	-1.053608E2
3.516667E0	-1.051603E2
3.521667E0	-1.059714E2
3.525000E0	-1.058384E2
3.530000E0	-1.058922E2
3.533333E0	-1.060850E2
3.538333E0	-1.071087E2
3.541667E0	-1.067865E2
3.546667E0	-1.067230E2
3.550000E0	-1.066172E2
3.555000E0	-1.065010E2
3.558333E0	-1.065693E2
3.563333E0	-1.064538E2
3.566667E0	-1.064468E2
3.571667E0	-1.064617E2
3.575000E0	-1.065690E2
3.580000E0	-1.065294E2
3.583333E0	-1.064239E2
3.588333E0	-1.063587E2
3.591667E0	-1.075959E2
3.596667E0	-1.062809E2
3.600000E0	-1.066297E2
3.605000E0	-1.071742E2
3.608333E0	-1.068165E2
3.613333E0	-1.072198E2
3.616667E0	-1.067426E2
3.621667E0	-1.069452E2
3.625000E0	-1.069451E2
3.630000E0	-1.063930E2
3.633333E0	-1.060863E2
3.638333E0	-1.057000E2
3.641667E0	-1.064129E2
3.646667E0	-1.062570E2
3.650000E0	-1.058843E2
3.655000E0	-1.053468E2
3.658333E0	-1.046322E2
3.661667E0	-1.049272E2
3.666667E0	-1.043713E2
3.670000E0	-1.036632E2
3.675000E0	-1.036565E2
3.678333E0	-1.029041E2
3.683333E0	-1.029936E2
3.686667E0	-1.031258E2
3.691667E0	-1.013951E2
3.695000E0	-1.026829E2
3.700000E0	-1.012134E2
3.703333E0	-1.016090E2
3.708333E0	-1.009673E2
3.711667E0	-9.954516E1
3.716667E0	-9.936126E1
3.720000E0	-9.939765E1
3.725000E0	-9.842157E1
3.728333E0	-9.824318E1
3.733333E0	-9.681935E1
3.736667E0	-9.645902E1
3.741667E0	-9.593376E1
3.745000E0	-9.470304E1
